config_index,config_name,n_samples,d_dim,dgp_num,n_runs,nonlinearity,interaction,sparse_k,skewness,heterogeneous,true_effect,noise_std,bias,rmse,variance,coverage_rate,rejection_rate,mean_estimate
0,0_基准,100,10,0,50,0.0,0.0,0,0.3,0.0,1.0,1.0,0.0453388435838157,0.3596415272120301,0.1272864173578836,0.94,0.9,1.0453388435838158
1,1_非线性,100,10,0,50,1.0,0.0,0,0.3,0.0,1.0,1.0,-3.2515938444999115e-05,0.3374887534408963,0.1138986576418038,0.98,0.8,0.999967484061555
2,2_交互,100,10,0,50,0.0,0.5,0,0.3,0.0,1.0,1.0,0.0447667996443366,0.3762801811972481,0.1395827084114376,0.9,0.88,1.0447667996443366
3,3_稀疏性,100,10,0,50,0.0,0.0,5,0.3,0.0,1.0,1.0,-0.0254837543759657,0.2453063309168008,0.0595257742507684,0.92,0.94,0.9745162456240344
4,4_偏态,100,10,0,50,0.0,0.0,0,2.0,0.0,1.0,1.0,-0.1277330026320189,0.5603707777599026,0.2976996886058468,0.78,0.56,0.8722669973679811
5,5_异质性,100,10,0,50,0.0,0.0,0,0.3,0.3,1.0,1.0,0.0268867758914097,0.3868195163939272,0.1489064395453969,0.94,0.86,1.0268867758914098
0,0_基准,100,10,1,50,0.0,0.0,0,0.3,0.0,1.0,1.0,-0.0881960929523398,0.2730758395870435,0.0667918633541109,0.94,0.9,0.91180390704766
1,1_非线性,100,10,1,50,1.0,0.0,0,0.3,0.0,1.0,1.0,-0.1355228045053716,0.353711755748513,0.1067455756136945,0.9,0.78,0.8644771954946283
2,2_交互,100,10,1,50,0.0,0.5,0,0.3,0.0,1.0,1.0,-0.0718496314383284,0.2726134728454353,0.0691557360390252,0.92,0.92,0.9281503685616715
3,3_稀疏性,100,10,1,50,0.0,0.0,5,0.3,0.0,1.0,1.0,-0.1070241722347915,0.2778420094290476,0.0657420087610286,0.94,0.9,0.8929758277652085
4,4_偏态,100,10,1,50,0.0,0.0,0,2.0,0.0,1.0,1.0,-0.1095293657293239,0.2772336189206609,0.0648617975027782,0.94,0.9,0.8904706342706761
5,5_异质性,100,10,1,50,0.0,0.0,0,0.3,0.3,1.0,1.0,-0.0885525412824796,0.2616302996112205,0.0606088611070717,0.96,0.9,0.9114474587175204
0,0_基准,100,10,2,50,0.0,0.0,0,0.3,0.0,1.0,1.0,-0.0296894993235703,0.1216407463223264,0.0139150047957683,0.9,1.0,0.9703105006764297
1,1_非线性,100,10,2,50,1.0,0.0,0,0.3,0.0,1.0,1.0,-0.0306955594138519,0.1216980961088535,0.0138682092287904,0.9,1.0,0.969304440586148
2,2_交互,100,10,2,50,0.0,0.5,0,0.3,0.0,1.0,1.0,-0.0244357294561443,0.1984303523123569,0.0387774998447522,0.8,1.0,0.9755642705438556
3,3_稀疏性,100,10,2,50,0.0,0.0,5,0.3,0.0,1.0,1.0,-0.0309578559558515,0.1229411193278946,0.0141561299762123,0.9,1.0,0.9690421440441483
4,4_偏态,100,10,2,50,0.0,0.0,0,2.0,0.0,1.0,1.0,-0.0298447275677973,0.1238803256753649,0.0144556273258384,0.9,1.0,0.9701552724322028
5,5_异质性,100,10,2,50,0.0,0.0,0,0.3,0.3,1.0,1.0,-0.0214148692229069,0.1653006986577726,0.0268657243529135,0.82,1.0,0.9785851307770932
0,0_基准,100,10,3,50,0.0,0.0,0,0.3,0.0,1.0,1.0,-0.0457659523073655,0.1236606222854863,0.0131974271134336,0.86,1.0,0.9542340476926344
1,1_非线性,100,10,3,50,1.0,0.0,0,0.3,0.0,1.0,1.0,-0.047408589933263,0.1241281310249843,0.0131602185122953,0.86,1.0,0.952591410066737
2,2_交互,100,10,3,50,0.0,0.5,0,0.3,0.0,1.0,1.0,-0.048472748896159,0.1239623900968572,0.0130170667729753,0.86,1.0,0.951527251103841
3,3_稀疏性,100,10,3,50,0.0,0.0,5,0.3,0.0,1.0,1.0,-0.0504839140003567,0.12490816351926,0.0130534237409587,0.86,1.0,0.9495160859996432
4,4_偏态,100,10,3,50,0.0,0.0,0,2.0,0.0,1.0,1.0,-0.0547345279658765,0.1247773812719821,0.0125735263254462,0.86,1.0,0.9452654720341236
5,5_异质性,100,10,3,50,0.0,0.0,0,0.3,0.3,1.0,1.0,-0.0532345547545739,0.1248402392761137,0.0127511675225995,0.86,1.0,0.946765445245426
0,0_基准,100,20,0,50,0.0,0.0,0,0.3,0.0,1.0,1.0,-0.1392869819253789,0.5032635996672882,0.2338733874161956,0.88,0.46,0.8607130180746211
1,1_非线性,100,20,0,50,1.0,0.0,0,0.3,0.0,1.0,1.0,-0.0324923109282616,0.5128401282912151,0.261949246916291,0.98,0.38,0.9675076890717385
2,2_交互,100,20,0,50,0.0,0.5,0,0.3,0.0,1.0,1.0,-0.1532163933707842,0.4828410998775575,0.2096602645334186,0.94,0.42,0.8467836066292158
3,3_稀疏性,100,20,0,50,0.0,0.0,5,0.3,0.0,1.0,1.0,-0.052165733517714,0.3220109758429279,0.1009698048098735,0.88,0.92,0.947834266482286
4,4_偏态,100,20,0,50,0.0,0.0,0,2.0,0.0,1.0,1.0,-0.0932332683122126,0.7690481002497258,0.5827425381775352,0.8,0.46,0.9067667316877872
5,5_异质性,100,20,0,50,0.0,0.0,0,0.3,0.3,1.0,1.0,-0.1698267802260571,0.4827729934997382,0.2042286279707487,0.94,0.46,0.8301732197739429
0,0_基准,100,20,1,50,0.0,0.0,0,0.3,0.0,1.0,1.0,0.012318273066697,0.2165036589549912,0.0467220944895534,0.96,0.98,1.012318273066697
1,1_非线性,100,20,1,50,1.0,0.0,0,0.3,0.0,1.0,1.0,-0.0052369028106816,0.3363287958124357,0.1130896337415945,0.94,0.86,0.9947630971893184
2,2_交互,100,20,1,50,0.0,0.5,0,0.3,0.0,1.0,1.0,0.077420800131879,0.2381123008077106,0.0507034875028813,0.96,0.98,1.077420800131879
3,3_稀疏性,100,20,1,50,0.0,0.0,5,0.3,0.0,1.0,1.0,0.0306703524171476,0.2163525421912938,0.0458677519952435,0.96,0.98,1.0306703524171477
4,4_偏态,100,20,1,50,0.0,0.0,0,2.0,0.0,1.0,1.0,0.0259493209653189,0.2168130672111858,0.046334538854961,0.96,0.98,1.025949320965319
5,5_异质性,100,20,1,50,0.0,0.0,0,0.3,0.3,1.0,1.0,0.0551061096422487,0.2275857823447775,0.0487586050055809,0.96,0.98,1.0551061096422487
0,0_基准,100,20,2,50,0.0,0.0,0,0.3,0.0,1.0,1.0,-0.0015752853023864,0.1070488466068088,0.0114569740360641,0.9,1.0,0.9984247146976136
1,1_非线性,100,20,2,50,1.0,0.0,0,0.3,0.0,1.0,1.0,0.0036333195593067,0.0996861484219809,0.0099241271761891,0.92,1.0,1.0036333195593068
2,2_交互,100,20,2,50,0.0,0.5,0,0.3,0.0,1.0,1.0,0.0116268367041072,0.1537746289463099,0.0235114531758313,0.9,1.0,1.0116268367041072
