config_index,config_name,n_samples,d_dim,dgp_num,n_runs,nonlinearity,interaction,sparse_k,skewness,heterogeneous,true_effect,noise_std,bias,rmse,variance,coverage_rate,rejection_rate,mean_estimate
3,3_稀疏性,100,10,0,50,0.0,0.0,5,0.3,0.0,1.0,1.0,-0.0254837543759657,0.2453063309168008,0.0595257742507684,0.92,0.94,0.9745162456240344
3,3_稀疏性,100,10,1,50,0.0,0.0,5,0.3,0.0,1.0,1.0,-0.1070241722347915,0.2778420094290476,0.0657420087610286,0.94,0.9,0.8929758277652085
3,3_稀疏性,100,10,2,50,0.0,0.0,5,0.3,0.0,1.0,1.0,-0.0309578559558515,0.1229411193278946,0.0141561299762123,0.9,1.0,0.9690421440441483
3,3_稀疏性,100,10,3,50,0.0,0.0,5,0.3,0.0,1.0,1.0,-0.0504839140003567,0.12490816351926,0.0130534237409587,0.86,1.0,0.9495160859996432
3,3_稀疏性,100,20,0,50,0.0,0.0,5,0.3,0.0,1.0,1.0,-0.052165733517714,0.3220109758429279,0.1009698048098735,0.88,0.92,0.947834266482286
3,3_稀疏性,100,20,1,50,0.0,0.0,5,0.3,0.0,1.0,1.0,0.0306703524171476,0.2163525421912938,0.0458677519952435,0.96,0.98,1.0306703524171477
3,3_稀疏性,100,20,2,50,0.0,0.0,5,0.3,0.0,1.0,1.0,0.0110622480137327,0.1029253661374657,0.010471257663414,0.9,1.0,1.0110622480137328
3,3_稀疏性,100,20,3,50,0.0,0.0,5,0.3,0.0,1.0,1.0,-0.0427636004941283,0.104818349295477,0.0091581608218072,0.86,1.0,0.9572363995058716
3,3_稀疏性,100,3,0,50,0.0,0.0,5,0.3,0.0,1.0,1.0,-0.0463821838774975,0.2537084960732509,0.0622166939985047,0.92,0.98,0.9536178161225024
3,3_稀疏性,100,3,1,50,0.0,0.0,5,0.3,0.0,1.0,1.0,-0.0848303114517654,0.3303244609978489,0.1019180677925158,0.8,0.9,0.9151696885482346
3,3_稀疏性,100,3,2,50,0.0,0.0,5,0.3,0.0,1.0,1.0,-0.0190749522692097,0.1102428355329951,0.0117896289822823,0.94,1.0,0.9809250477307904
3,3_稀疏性,100,3,3,50,0.0,0.0,5,0.3,0.0,1.0,1.0,0.0013846472088934,0.1167591988523758,0.0136307932687555,0.92,1.0,1.0013846472088934
3,3_稀疏性,100,40,0,50,0.0,0.0,5,0.3,0.0,1.0,1.0,0.0605114253957412,0.3023648406789682,0.0877628642753935,0.96,0.94,1.0605114253957413
3,3_稀疏性,100,40,1,50,0.0,0.0,5,0.3,0.0,1.0,1.0,0.0360138830637191,0.2667401524784473,0.0698533091708981,0.94,0.98,1.036013883063719
3,3_稀疏性,100,40,2,50,0.0,0.0,5,0.3,0.0,1.0,1.0,0.0220648377233276,0.1141861390512771,0.0125516172876808,0.9,1.0,1.0220648377233277
3,3_稀疏性,100,40,3,50,0.0,0.0,5,0.3,0.0,1.0,1.0,-0.0026708273513921,0.1084829487892364,0.0117614168592671,0.88,1.0,0.997329172648608
3,3_稀疏性,100,5,0,50,0.0,0.0,5,0.3,0.0,1.0,1.0,-0.023862078859465,0.1811026346678743,0.0322287654761502,0.98,0.98,0.976137921140535
