config_index,config_name,n_samples,d_dim,dgp_num,n_runs,nonlinearity,interaction,sparse_k,skewness,heterogeneous,true_effect,noise_std,bias,rmse,variance,coverage_rate,rejection_rate,mean_estimate
5,5_异质性,100,10,0,50,0.0,0.0,0,0.3,0.3,1.0,1.0,0.0268867758914097,0.3868195163939272,0.1489064395453969,0.94,0.86,1.0268867758914098
5,5_异质性,100,10,1,50,0.0,0.0,0,0.3,0.3,1.0,1.0,-0.0885525412824796,0.2616302996112205,0.0606088611070717,0.96,0.9,0.9114474587175204
5,5_异质性,100,10,2,50,0.0,0.0,0,0.3,0.3,1.0,1.0,-0.0214148692229069,0.1653006986577726,0.0268657243529135,0.82,1.0,0.9785851307770932
5,5_异质性,100,10,3,50,0.0,0.0,0,0.3,0.3,1.0,1.0,-0.0532345547545739,0.1248402392761137,0.0127511675225995,0.86,1.0,0.946765445245426
5,5_异质性,100,20,0,50,0.0,0.0,0,0.3,0.3,1.0,1.0,-0.1698267802260571,0.4827729934997382,0.2042286279707487,0.94,0.46,0.8301732197739429
5,5_异质性,100,20,1,50,0.0,0.0,0,0.3,0.3,1.0,1.0,0.0551061096422487,0.2275857823447775,0.0487586050055809,0.96,0.98,1.0551061096422487
5,5_异质性,100,20,2,50,0.0,0.0,0,0.3,0.3,1.0,1.0,0.0130016426102983,0.1253285977512727,0.0155382147037344,0.88,1.0,1.0130016426102983
5,5_异质性,100,20,3,50,0.0,0.0,0,0.3,0.3,1.0,1.0,-0.0388632376364106,0.1075426762495,0.0100550759753206,0.86,1.0,0.9611367623635894
5,5_异质性,100,3,0,50,0.0,0.0,0,0.3,0.3,1.0,1.0,-0.0348644569422957,0.283074759691848,0.0789157892167163,0.86,0.98,0.9651355430577042
5,5_异质性,100,3,1,50,0.0,0.0,0,0.3,0.3,1.0,1.0,-0.0593751198120804,0.3362149982692309,0.10951512020848,0.84,0.92,0.9406248801879196
5,5_异质性,100,3,2,50,0.0,0.0,0,0.3,0.3,1.0,1.0,-0.0135446357081688,0.1180054885292842,0.013741838166568,0.96,1.0,0.9864553642918312
5,5_异质性,100,3,3,50,0.0,0.0,0,0.3,0.3,1.0,1.0,-0.0027531267353775,0.1199696118592232,0.0143851280628316,0.92,1.0,0.9972468732646224
5,5_异质性,100,40,0,50,0.0,0.0,0,0.3,0.3,1.0,1.0,0.2303116224794079,0.7349563618507838,0.487117410375843,0.94,0.42,1.230311622479408
5,5_异质性,100,40,1,50,0.0,0.0,0,0.3,0.3,1.0,1.0,0.0404545863301208,0.2577314949723041,0.0647889499455176,0.94,1.0,1.040454586330121
5,5_异质性,100,40,2,50,0.0,0.0,0,0.3,0.3,1.0,1.0,0.019438211792963,0.1289076973234343,0.016239350351522,0.9,1.0,1.019438211792963
