config_index,config_name,n_samples,d_dim,dgp_num,n_runs,nonlinearity,interaction,sparse_k,skewness,heterogeneous,true_effect,noise_std,bias,rmse,variance,coverage_rate,rejection_rate,mean_estimate
0,0_基准,100,10,0,50,0.0,0.0,0,0.3,0.0,1.0,1.0,0.0453388435838157,0.3596415272120301,0.1272864173578836,0.94,0.9,1.0453388435838158
0,0_基准,100,10,1,50,0.0,0.0,0,0.3,0.0,1.0,1.0,-0.0881960929523398,0.2730758395870435,0.0667918633541109,0.94,0.9,0.91180390704766
0,0_基准,100,10,2,50,0.0,0.0,0,0.3,0.0,1.0,1.0,-0.0296894993235703,0.1216407463223264,0.0139150047957683,0.9,1.0,0.9703105006764297
0,0_基准,100,10,3,50,0.0,0.0,0,0.3,0.0,1.0,1.0,-0.0457659523073655,0.1236606222854863,0.0131974271134336,0.86,1.0,0.9542340476926344
0,0_基准,100,20,0,50,0.0,0.0,0,0.3,0.0,1.0,1.0,-0.1392869819253789,0.5032635996672882,0.2338733874161956,0.88,0.46,0.8607130180746211
0,0_基准,100,20,1,50,0.0,0.0,0,0.3,0.0,1.0,1.0,0.012318273066697,0.2165036589549912,0.0467220944895534,0.96,0.98,1.012318273066697
0,0_基准,100,20,2,50,0.0,0.0,0,0.3,0.0,1.0,1.0,-0.0015752853023864,0.1070488466068088,0.0114569740360641,0.9,1.0,0.9984247146976136
0,0_基准,100,20,3,50,0.0,0.0,0,0.3,0.0,1.0,1.0,-0.0458011685751804,0.1052878444433776,0.0089877831446808,0.86,1.0,0.9541988314248196
0,0_基准,100,3,0,50,0.0,0.0,0,0.3,0.0,1.0,1.0,-0.0463352840021242,0.2549679214246639,0.062861682412056,0.92,0.98,0.9536647159978756
0,0_基准,100,3,1,50,0.0,0.0,0,0.3,0.0,1.0,1.0,-0.0772078164180294,0.3148670825649874,0.0931802327669465,0.82,0.92,0.9227921835819706
