config_index,config_name,n_samples,d_dim,dgp_num,n_runs,nonlinearity,interaction,sparse_k,skewness,heterogeneous,true_effect,noise_std,bias,rmse,variance,coverage_rate,rejection_rate,mean_estimate
4,4_偏态,100,10,0,50,0.0,0.0,0,2.0,0.0,1.0,1.0,-0.1277330026320189,0.5603707777599026,0.2976996886058468,0.78,0.56,0.8722669973679811
4,4_偏态,100,10,1,50,0.0,0.0,0,2.0,0.0,1.0,1.0,-0.1095293657293239,0.2772336189206609,0.0648617975027782,0.94,0.9,0.8904706342706761
4,4_偏态,100,10,2,50,0.0,0.0,0,2.0,0.0,1.0,1.0,-0.0298447275677973,0.1238803256753649,0.0144556273258384,0.9,1.0,0.9701552724322028
4,4_偏态,100,10,3,50,0.0,0.0,0,2.0,0.0,1.0,1.0,-0.0547345279658765,0.1247773812719821,0.0125735263254462,0.86,1.0,0.9452654720341236
4,4_偏态,100,20,0,50,0.0,0.0,0,2.0,0.0,1.0,1.0,-0.0932332683122126,0.7690481002497258,0.5827425381775352,0.8,0.46,0.9067667316877872
4,4_偏态,100,20,1,50,0.0,0.0,0,2.0,0.0,1.0,1.0,0.0259493209653189,0.2168130672111858,0.046334538854961,0.96,0.98,1.025949320965319
4,4_偏态,100,20,2,50,0.0,0.0,0,2.0,0.0,1.0,1.0,0.0073955688194982,0.1023814244030598,0.0104272616246355,0.9,1.0,1.0073955688194982
4,4_偏态,100,20,3,50,0.0,0.0,0,2.0,0.0,1.0,1.0,-0.0403202669852851,0.107317573931151,0.0098913377447033,0.86,1.0,0.9596797330147148
4,4_偏态,100,3,0,50,0.0,0.0,0,2.0,0.0,1.0,1.0,-0.0476920350385138,0.3826353021509868,0.1441352442460622,0.86,0.84,0.9523079649614862
4,4_偏态,100,3,1,50,0.0,0.0,0,2.0,0.0,1.0,1.0,-0.0754700967432895,0.3290356015387939,0.1025686915775545,0.8,0.9,0.9245299032567104
4,4_偏态,100,3,2,50,0.0,0.0,0,2.0,0.0,1.0,1.0,-0.0214184936931225,0.1072395000468005,0.0110415584982054,0.96,1.0,0.9785815063068776
4,4_偏态,100,3,3,50,0.0,0.0,0,2.0,0.0,1.0,1.0,-0.0002934847827815,0.1153345594956629,0.0133019744807409,0.92,1.0,0.9997065152172184
4,4_偏态,100,40,0,50,0.0,0.0,0,2.0,0.0,1.0,1.0,0.1999115046478818,0.8712723487905143,0.7191508960763595,0.84,0.34,1.199911504647882
4,4_偏态,100,40,1,50,0.0,0.0,0,2.0,0.0,1.0,1.0,0.0241200012098077,0.2739212960477348,0.0744511019701096,0.92,0.98,1.0241200012098075
4,4_偏态,100,40,2,50,0.0,0.0,0,2.0,0.0,1.0,1.0,0.0181719858387523,0.1142224399427315,0.012716544717147,0.9,1.0,1.0181719858387523
4,4_偏态,100,40,3,50,0.0,0.0,0,2.0,0.0,1.0,1.0,-0.0047932643300014,0.1108634996841652,0.0122677401792836,0.86,1.0,0.9952067356699984
4,4_偏态,100,5,0,50,0.0,0.0,0,2.0,0.0,1.0,1.0,-0.1677098830279919,0.4510536458354095,0.1753227865561522,0.8,0.68,0.832290116972008
