config_index,config_name,n_samples,d_dim,dgp_num,n_runs,nonlinearity,interaction,sparse_k,skewness,heterogeneous,true_effect,noise_std,bias,rmse,variance,coverage_rate,rejection_rate,mean_estimate
0,0_基准,100,10,2,100,0.0,0.0,0,0.3,0.0,1.0,1.0,-0.0323731179972616,0.1240967681422373,0.0143519890944835,0.92,1.0,0.9676268820027384
0,inter_0.25,100,10,2,100,0.0,0.25,0,0.3,0.0,1.0,1.0,-0.0214618153423353,0.1502884091353205,0.0221259964026369,0.86,1.0,0.9785381846576646
0,0_基准,100,10,3,100,0.0,0.0,0,0.3,0.0,1.0,1.0,-0.0476645280645078,0.1299947078368508,0.0146267168299759,0.86,1.0,0.9523354719354922
0,0_基准,200,10,2,100,0.0,0.0,0,0.3,0.0,1.0,1.0,-0.0224990780568145,0.0733611213220337,0.0048756456082195,0.94,1.0,0.9775009219431856
0,0_基准,200,10,3,100,0.0,0.0,0,0.3,0.0,1.0,1.0,-0.0193627996114448,0.0817977379404574,0.0063159519233827,0.92,1.0,0.9806372003885552
0,0_基准,400,10,2,100,0.0,0.0,0,0.3,0.0,1.0,1.0,-0.0220148437240418,0.0605174729651354,0.0031777111898919,0.87,1.0,0.9779851562759582
0,0_基准,400,10,3,100,0.0,0.0,0,0.3,0.0,1.0,1.0,-0.0177925186376817,0.0644575647430508,0.0038382039331323,0.86,1.0,0.9822074813623184
0,0_基准,50,10,2,100,0.0,0.0,0,0.3,0.0,1.0,1.0,-0.0129660979552496,0.1685323852996764,0.0282350451986134,0.89,1.0,0.9870339020447504
0,0_基准,50,10,3,100,0.0,0.0,0,0.3,0.0,1.0,1.0,-0.0767010133165773,0.1859489534596358,0.028693967848944,0.84,1.0,0.9232989866834228
0,0_基准,800,10,2,100,0.0,0.0,0,0.3,0.0,1.0,1.0,-0.0124587567512698,0.043758806969308,0.0017596125675898,0.88,1.0,0.9875412432487302
0,0_基准,800,10,3,100,0.0,0.0,0,0.3,0.0,1.0,1.0,-0.0158403732377052,0.0441226938902449,0.0016958946918224,0.92,1.0,0.9841596267622948
