config_name,n_samples,d_dim,dgp_num,n_runs,nonlinearity,interaction,sparse_k,skewness,heterogeneous,true_effect,noise_std,bias,rmse,variance,coverage_rate,rejection_rate,mean_estimate,true_theta,rho,s1,a0,a1,b0,b1
hete_0.3,100,3,2,100,0.0,0.0,0,0.3,0.3,1.0,1.0,-0.0320123648354575,0.1435987940862472,0.0199938251669185,0.88,0.12,0.9700323135665326,1.00204467840199,0.7,1.0,1.0,0.25,1.0,0.25
hete_0.3,100,3,3,100,0.0,0.0,0,0.3,0.3,1.0,1.0,-0.0266994919790853,0.1336603610030951,0.0194550973762382,0.89,0.11,0.9775786566682392,1.0042781486473245,0.7,1.0,1.0,0.25,1.0,0.25
hete_0.3,100,5,2,100,0.0,0.0,0,0.3,0.3,1.0,1.0,-0.0165604826376008,0.1287547784856574,0.0155148527266032,0.9,0.1,0.9860902811989072,1.002650763836508,0.7,1.0,1.0,0.25,1.0,0.25
hete_0.3,100,5,3,100,0.0,0.0,0,0.3,0.3,1.0,1.0,-0.0042455092650626,0.1308957252810534,0.0200135149575742,0.88,0.12,0.9987007182528924,1.002946227517955,0.7,1.0,1.0,0.25,1.0,0.25
hete_0.3,200,3,2,100,0.0,0.0,0,0.3,0.3,1.0,1.0,-0.0226663764294473,0.1005677719079104,0.0098899973482699,0.88,0.12,0.981709014591148,1.0043753910205957,0.7,1.0,1.0,0.25,1.0,0.25
hete_0.3,200,3,3,100,0.0,0.0,0,0.3,0.3,1.0,1.0,-0.0128316088807353,0.0958280065102955,0.0092199317520529,0.93,0.07,0.989123422880853,1.0019550317615884,0.7,1.0,1.0,0.25,1.0,0.25
hete_0.3,200,5,2,100,0.0,0.0,0,0.3,0.3,1.0,1.0,-0.0216083434155534,0.1060300841678204,0.0106134245460156,0.84,0.16,0.9822862808929396,1.0038946243084932,0.7,1.0,1.0,0.25,1.0,0.25
hete_0.3,200,5,3,100,0.0,0.0,0,0.3,0.3,1.0,1.0,-0.0238937238550995,0.0930181364959441,0.0090009709869937,0.92,0.08,0.9790589460517596,1.0029526699068592,0.7,1.0,1.0,0.25,1.0,0.25
hete_0.3,400,3,2,100,0.0,0.0,0,0.3,0.3,1.0,1.0,-0.0194854893629157,0.0701140968071704,0.005120948133619,0.9,0.1,0.9822784849763112,1.001763974339227,0.7,1.0,1.0,0.25,1.0,0.25
hete_0.3,400,3,3,100,0.0,0.0,0,0.3,0.3,1.0,1.0,-0.0122981935066445,0.0605603345705968,0.0038928635085505,0.93,0.07,0.9882173569739796,1.000515550480624,0.7,1.0,1.0,0.25,1.0,0.25
hete_0.3,400,5,2,100,0.0,0.0,0,0.3,0.3,1.0,1.0,-0.0087260878115071,0.0631683141848482,0.0041907568741035,0.93,0.07,0.9927424271778073,1.0014685149893143,0.7,1.0,1.0,0.25,1.0,0.25
hete_0.3,400,5,3,100,0.0,0.0,0,0.3,0.3,1.0,1.0,-0.0170581101726149,0.0758172802834842,0.0056497786863053,0.86,0.14,0.985043791792351,1.002101901964966,0.7,1.0,1.0,0.25,1.0,0.25
hete_0.3,50,3,2,100,0.0,0.0,0,0.3,0.3,1.0,1.0,-0.0304375175069429,0.213888168751638,0.045262244419159,0.82,0.18,0.9648798475370792,0.995317365044022,0.7,1.0,1.0,0.25,1.0,0.25
hete_0.3,50,3,3,100,0.0,0.0,0,0.3,0.3,1.0,1.0,-0.01895228436828,0.2059807791069684,0.0435276440545202,0.84,0.16,0.9837221963251366,1.0026744806934162,0.7,1.0,1.0,0.25,1.0,0.25
hete_0.3,50,5,2,100,0.0,0.0,0,0.3,0.3,1.0,1.0,-0.00643514586323,0.19374872923382,0.0393595992688974,0.88,0.12,0.9937026352344914,1.0001377810977217,0.7,1.0,1.0,0.25,1.0,0.25
hete_0.3,50,5,3,100,0.0,0.0,0,0.3,0.3,1.0,1.0,-0.032722753658952,0.2050634314485316,0.0429145328051571,0.88,0.12,0.974273893963312,1.006996647622264,0.7,1.0,1.0,0.25,1.0,0.25
hete_0.3,800,3,2,100,0.0,0.0,0,0.3,0.3,1.0,1.0,-0.0228215054312741,0.0472254075602656,0.0017899116665653,0.93,0.07,0.9771726036736564,0.9999941091049304,0.7,1.0,1.0,0.25,1.0,0.25
hete_0.3,800,3,3,100,0.0,0.0,0,0.3,0.3,1.0,1.0,-0.0215362851074382,0.0523722705751991,0.0023232285056936,0.86,0.14,0.97824468749434,0.9997809726017782,0.7,1.0,1.0,0.25,1.0,0.25
hete_0.3,800,5,2,100,0.0,0.0,0,0.3,0.3,1.0,1.0,-0.0207531521377672,0.0474409879305597,0.0019943628043559,0.91,0.09,0.9806969396539575,1.001450091791725,0.7,1.0,1.0,0.25,1.0,0.25
hete_0.3,800,5,3,100,0.0,0.0,0,0.3,0.3,1.0,1.0,-0.0156807769268532,0.0443649078085518,0.0019431896172537,0.92,0.08,0.9855781104048438,1.0012588873316972,0.7,1.0,1.0,0.25,1.0,0.25
