config_name,n_samples,d_dim,dgp_num,n_runs,nonlinearity,interaction,sparse_k,skewness,heterogeneous,true_effect,noise_std,bias,rmse,variance,coverage_rate,rejection_rate,mean_estimate,true_theta,rho,s1,a0,a1,b0,b1
rho_0.3,100,3,2,100,0.0,0.0,0,0.3,0.0,1.0,1.0,-0.0307711915324823,0.1317628073756785,0.0164145711791914,0.83,0.17,0.9692288084675176,1.0,0.3,1.0,1.0,0.25,1.0,0.25
rho_0.3,100,3,3,100,0.0,0.0,0,0.3,0.0,1.0,1.0,-0.0264618776655423,0.1282945969556759,0.0157592726384332,0.88,0.12,0.9735381223344576,1.0,0.3,1.0,1.0,0.25,1.0,0.25
rho_0.3,100,5,2,100,0.0,0.0,0,0.3,0.0,1.0,1.0,-0.0175147317513105,0.1120900834914987,0.0122574209888107,0.89,0.11,0.9824852682486894,1.0,0.3,1.0,1.0,0.25,1.0,0.25
rho_0.3,100,5,3,100,0.0,0.0,0,0.3,0.0,1.0,1.0,-0.0024098008748252,0.1110735515404386,0.0123315267115501,0.88,0.12,0.9975901991251744,1.0,0.3,1.0,1.0,0.25,1.0,0.25
rho_0.3,200,3,2,100,0.0,0.0,0,0.3,0.0,1.0,1.0,-0.0227087371145517,0.0923649336608381,0.0080155942288332,0.88,0.12,0.9772912628854484,1.0,0.3,1.0,1.0,0.25,1.0,0.25
rho_0.3,200,3,3,100,0.0,0.0,0,0.3,0.0,1.0,1.0,-0.0142424591349789,0.0884676121417952,0.0076236707558595,0.87,0.13,0.985757540865021,1.0,0.3,1.0,1.0,0.25,1.0,0.25
rho_0.3,200,5,2,100,0.0,0.0,0,0.3,0.0,1.0,1.0,-0.0072851093083987,0.0824563256529999,0.0067459728225582,0.91,0.09,0.9927148906916012,1.0,0.3,1.0,1.0,0.25,1.0,0.25
rho_0.3,200,5,3,100,0.0,0.0,0,0.3,0.0,1.0,1.0,-0.0265138094660151,0.0841757749088226,0.0063825789891006,0.9,0.1,0.9734861905339848,1.0,0.3,1.0,1.0,0.25,1.0,0.25
rho_0.3,400,3,2,100,0.0,0.0,0,0.3,0.0,1.0,1.0,-0.0212402189280665,0.0642201479782264,0.0036730805062331,0.88,0.12,0.9787597810719336,1.0,0.3,1.0,1.0,0.25,1.0,0.25
rho_0.3,400,3,3,100,0.0,0.0,0,0.3,0.0,1.0,1.0,-0.0171486423634656,0.0576553355921536,0.0030300617873338,0.92,0.08,0.9828513576365344,1.0,0.3,1.0,1.0,0.25,1.0,0.25
rho_0.3,400,5,2,100,0.0,0.0,0,0.3,0.0,1.0,1.0,-0.0144498397315107,0.0556953091458328,0.0028931695925835,0.92,0.08,0.9855501602684892,1.0,0.3,1.0,1.0,0.25,1.0,0.25
rho_0.3,400,5,3,100,0.0,0.0,0,0.3,0.0,1.0,1.0,-0.0199855066283284,0.0680833961738136,0.0042359283593694,0.87,0.13,0.9800144933716716,1.0,0.3,1.0,1.0,0.25,1.0,0.25
rho_0.3,50,3,2,100,0.0,0.0,0,0.3,0.0,1.0,1.0,-0.0440092421711797,0.1979012906678308,0.0372281074515117,0.83,0.17,0.9559907578288204,1.0,0.3,1.0,1.0,0.25,1.0,0.25
rho_0.3,50,3,3,100,0.0,0.0,0,0.3,0.0,1.0,1.0,-0.0242199808746314,0.1806002316761855,0.0320298362079243,0.82,0.18,0.9757800191253684,1.0,0.3,1.0,1.0,0.25,1.0,0.25
rho_0.3,50,5,2,100,0.0,0.0,0,0.3,0.0,1.0,1.0,0.0092448675405226,0.1737689946446819,0.0301101959239817,0.87,0.13,1.0092448675405228,1.0,0.3,1.0,1.0,0.25,1.0,0.25
rho_0.3,50,5,3,100,0.0,0.0,0,0.3,0.0,1.0,1.0,-0.0238753436571345,0.1840693784236831,0.0333115040385347,0.83,0.17,0.9761246563428654,1.0,0.3,1.0,1.0,0.25,1.0,0.25
rho_0.3,800,3,2,100,0.0,0.0,0,0.3,0.0,1.0,1.0,-0.0241371991564671,0.043414239911359,0.001302191843962,0.86,0.14,0.9758628008435328,1.0,0.3,1.0,1.0,0.25,1.0,0.25
rho_0.3,800,3,3,100,0.0,0.0,0,0.3,0.0,1.0,1.0,-0.0207795025886191,0.0478342229962343,0.001856325161823,0.82,0.18,0.9792204974113808,1.0,0.3,1.0,1.0,0.25,1.0,0.25
rho_0.3,800,5,2,100,0.0,0.0,0,0.3,0.0,1.0,1.0,-0.0202110880433908,0.0421114699014577,0.0013648878173636,0.93,0.07,0.9797889119566092,1.0,0.3,1.0,1.0,0.25,1.0,0.25
rho_0.3,800,5,3,100,0.0,0.0,0,0.3,0.0,1.0,1.0,-0.0148477496961221,0.0402802333219011,0.0014020415254281,0.93,0.07,0.985152250303878,1.0,0.3,1.0,1.0,0.25,1.0,0.25
