config_name,n_samples,d_dim,dgp_num,n_runs,nonlinearity,interaction,sparse_k,skewness,heterogeneous,true_effect,noise_std,bias,rmse,variance,coverage_rate,rejection_rate,mean_estimate,true_theta,rho,s1,a0,a1,b0,b1
s1_0.5,100,3,2,100,0.0,0.0,0,0.3,0.0,1.0,1.0,-0.0543059247898388,0.2463327986748867,0.0577307142357226,0.86,0.14,0.945694075210161,1.0,0.7,0.5,1.0,0.25,1.0,0.25
s1_0.5,100,3,3,100,0.0,0.0,0,0.3,0.0,1.0,1.0,-0.0289768464345071,0.1280267693917795,0.0155511960516069,0.88,0.12,0.971023153565493,1.0,0.7,0.5,1.0,0.25,1.0,0.25
s1_0.5,100,5,2,100,0.0,0.0,0,0.3,0.0,1.0,1.0,-0.0361773698724997,0.2198159192946092,0.0470102362844425,0.93,0.07,0.9638226301275004,1.0,0.7,0.5,1.0,0.25,1.0,0.25
s1_0.5,100,5,3,100,0.0,0.0,0,0.3,0.0,1.0,1.0,0.0003205221512759,0.1129823217963335,0.0127649023040408,0.87,0.13,1.000320522151276,1.0,0.7,0.5,1.0,0.25,1.0,0.25
s1_0.5,200,3,2,100,0.0,0.0,0,0.3,0.0,1.0,1.0,-0.0441859011459585,0.1724684117648062,0.0277929591965943,0.88,0.12,0.9558140988540412,1.0,0.7,0.5,1.0,0.25,1.0,0.25
s1_0.5,200,3,3,100,0.0,0.0,0,0.3,0.0,1.0,1.0,-0.0131875772265337,0.0880110888361606,0.0075720395650207,0.87,0.13,0.9868124227734664,1.0,0.7,0.5,1.0,0.25,1.0,0.25
s1_0.5,200,5,2,100,0.0,0.0,0,0.3,0.0,1.0,1.0,-0.0304743486671489,0.1666644748070986,0.026848361236039,0.88,0.12,0.9695256513328512,1.0,0.7,0.5,1.0,0.25,1.0,0.25
s1_0.5,200,5,3,100,0.0,0.0,0,0.3,0.0,1.0,1.0,-0.0279543045887415,0.0828462285229231,0.0060820544354322,0.91,0.09,0.9720456954112584,1.0,0.7,0.5,1.0,0.25,1.0,0.25
s1_0.5,400,3,2,100,0.0,0.0,0,0.3,0.0,1.0,1.0,-0.0376049089381501,0.127348826149773,0.0148035943454785,0.87,0.13,0.96239509106185,1.0,0.7,0.5,1.0,0.25,1.0,0.25
s1_0.5,400,3,3,100,0.0,0.0,0,0.3,0.0,1.0,1.0,-0.0171986381242536,0.0593056519596195,0.0032213672010264,0.91,0.09,0.9828013618757464,1.0,0.7,0.5,1.0,0.25,1.0,0.25
s1_0.5,400,5,2,100,0.0,0.0,0,0.3,0.0,1.0,1.0,-0.0178188593152815,0.1058246454914921,0.0108813438461021,0.91,0.09,0.9821811406847184,1.0,0.7,0.5,1.0,0.25,1.0,0.25
s1_0.5,400,5,3,100,0.0,0.0,0,0.3,0.0,1.0,1.0,-0.0216059431420038,0.0675801835571505,0.0041002644305626,0.87,0.13,0.978394056857996,1.0,0.7,0.5,1.0,0.25,1.0,0.25
s1_0.5,50,3,2,100,0.0,0.0,0,0.3,0.0,1.0,1.0,-0.0833310907864694,0.3638770967143661,0.1254624708216133,0.84,0.16,0.9166689092135306,1.0,0.7,0.5,1.0,0.25,1.0,0.25
s1_0.5,50,3,3,100,0.0,0.0,0,0.3,0.0,1.0,1.0,-0.022015458035468,0.1797274376464968,0.0318172714504639,0.83,0.17,0.9779845419645318,1.0,0.7,0.5,1.0,0.25,1.0,0.25
s1_0.5,50,5,2,100,0.0,0.0,0,0.3,0.0,1.0,1.0,0.0365828288233062,0.3141615765062836,0.0973591927881982,0.86,0.14,1.0365828288233063,1.0,0.7,0.5,1.0,0.25,1.0,0.25
s1_0.5,50,5,3,100,0.0,0.0,0,0.3,0.0,1.0,1.0,-0.0201922589042487,0.1847088439617861,0.0337096297180432,0.83,0.17,0.9798077410957512,1.0,0.7,0.5,1.0,0.25,1.0,0.25
s1_0.5,800,3,2,100,0.0,0.0,0,0.3,0.0,1.0,1.0,-0.0437837125002201,0.0825107753153794,0.0048910145628431,0.9,0.1,0.95621628749978,1.0,0.7,0.5,1.0,0.25,1.0,0.25
s1_0.5,800,3,3,100,0.0,0.0,0,0.3,0.0,1.0,1.0,-0.02190131915084,0.0475497587902013,0.0017813117804593,0.82,0.18,0.97809868084916,1.0,0.7,0.5,1.0,0.25,1.0,0.25
s1_0.5,800,5,2,100,0.0,0.0,0,0.3,0.0,1.0,1.0,-0.0361041728999976,0.0793858023557705,0.0049985943148765,0.93,0.07,0.9638958271000022,1.0,0.7,0.5,1.0,0.25,1.0,0.25
s1_0.5,800,5,3,100,0.0,0.0,0,0.3,0.0,1.0,1.0,-0.0155466447373503,0.0405990382484943,0.0014065837441133,0.93,0.07,0.9844533552626497,1.0,0.7,0.5,1.0,0.25,1.0,0.25
