config_name,nonlinearity,interaction,sparse_k,skewness,heterogeneous,true_effect,noise_std,bias,rmse,variance,coverage_rate,rejection_rate,mean_estimate
0_基准,0.0,0.0,0,0.3,0.0,1.0,1.0,-0.01779251863768172,0.06445756474305082,0.0038382039331323397,0.86,1.0,0.9822074813623183
inter_0.25,0.0,0.25,0,0.3,0.0,1.0,1.0,-0.017834486904068303,0.06445027052182706,0.003835768447205304,0.86,1.0,0.9821655130959317
inter_0.5,0.0,0.5,0,0.3,0.0,1.0,1.0,-0.02031699359632866,0.06550154980844536,0.0038776727985149824,0.86,1.0,0.9796830064036713
inter_1.0,0.0,1.0,0,0.3,0.0,1.0,1.0,-0.01856747557018068,0.06278386181051974,0.003597062154793173,0.87,1.0,0.9814325244298193
hete_0.15,0.0,0.0,0,0.3,0.15,1.0,1.0,-0.018711688917488756,0.06292147271683865,0.003608984426710995,0.87,1.0,0.9812883110825112
hete_0.3,0.0,0.0,0,0.3,0.3,1.0,1.0,-0.01920082320359251,0.06264929725064593,0.0035562628343041693,0.87,1.0,0.9807991767964075
hete_0.5,0.0,0.0,0,0.3,0.5,1.0,1.0,-0.019684241308448924,0.0627989907581603,0.003556243884354259,0.87,1.0,0.9803157586915511
noise_0.5,0.0,0.0,0,0.3,0.0,1.0,0.5,-0.02002762441264294,0.0630659870490539,0.003576212982857542,0.87,1.0,0.9799723755873571
noise_1.0,0.0,0.0,0,0.3,0.0,1.0,1.0,-0.018987626409203484,0.06140739083919676,0.0034103376930223837,0.88,1.0,0.9810123735907965
noise_2.0,0.0,0.0,0,0.3,0.0,1.0,2.0,-0.017669306209068036,0.060403892692646295,0.0033364258705149176,0.89,1.0,0.982330693790932
rho_0.3,0.0,0.0,0,0.3,0.0,1.0,1.0,-0.017609341555041125,0.06037946591585801,0.0033355909942821556,0.89,1.0,0.9823906584449589
rho_0.5,0.0,0.0,0,0.3,0.0,1.0,1.0,-0.01696366397951876,0.060229257525696245,0.0033397975664866144,0.89,1.0,0.9830363360204812
rho_0.7,0.0,0.0,0,0.3,0.0,1.0,1.0,-0.017437262562703393,0.060804772661431646,0.0033931622527277262,0.88,1.0,0.9825627374372966
s1_0.5,0.0,0.0,0,0.3,0.0,1.0,1.0,-0.01777435435243324,0.060654370966233544,0.00336302504466361,0.88,1.0,0.9822256456475668
s1_1.0,0.0,0.0,0,0.3,0.0,1.0,1.0,-0.01833829117085417,0.06107225828508299,0.003393527808972857,0.88,1.0,0.9816617088291458
s1_2.0,0.0,0.0,0,0.3,0.0,1.0,1.0,-0.017080188685334563,0.06123535117970871,0.003458035388575617,0.88,1.0,0.9829198113146654
