config_name,n_samples,d_dim,dgp_num,n_runs,nonlinearity,interaction,sparse_k,skewness,heterogeneous,noise_std,bias,rmse,variance,coverage_rate,rejection_rate,mean_estimate,rho,s1,a0,a1,b0,b1
0_基准,100,10,2,100,0.0,0.0,0,0.3,0.0,1.0,-0.0323731179972613,0.1240967681422373,0.0143519890944836,0.92,0.08,0.9676268820027386,0.7,1.0,1.0,0.25,1.0,0.25
inter_0.25,100,10,2,100,0.0,0.25,0,0.3,0.0,1.0,-0.0214618153423353,0.1502884091353204,0.0221259964026369,0.86,0.14,0.9785381846576646,0.7,1.0,1.0,0.25,1.0,0.25
inter_0.5,100,10,2,100,0.0,0.5,0,0.3,0.0,1.0,-0.0200153960473771,0.1887495842227934,0.035225789465344,0.86,0.14,0.9799846039526228,0.7,1.0,1.0,0.25,1.0,0.25
inter_1.0,100,10,2,100,0.0,1.0,0,0.3,0.0,1.0,-0.0079147991336705,0.2822942117786558,0.0796273779584062,0.87,0.13,0.9920852008663296,0.7,1.0,1.0,0.25,1.0,0.25
hete_0.15,100,10,2,100,0.0,0.0,0,0.3,0.15,1.0,-0.0264528265128302,0.1407614804069983,0.0191140423358518,0.87,0.13,0.9735471734871698,0.7,1.0,1.0,0.25,1.0,0.25
hete_0.3,100,10,2,100,0.0,0.0,0,0.3,0.3,1.0,-0.0262825975006885,0.1604750795137297,0.0250614762135546,0.85,0.15,0.9737174024993116,0.7,1.0,1.0,0.25,1.0,0.25
hete_0.5,100,10,2,100,0.0,0.0,0,0.3,0.5,1.0,-0.0217206451318423,0.1911645393785167,0.036072094690857,0.85,0.15,0.9782793548681576,0.7,1.0,1.0,0.25,1.0,0.25
noise_0.5,100,10,2,100,0.0,0.0,0,0.3,0.0,0.5,-0.0117303698951956,0.0665780288277595,0.0042950323447118,0.91,0.09,0.9882696301048044,0.7,1.0,1.0,0.25,1.0,0.25
noise_1.0,100,10,2,100,0.0,0.0,0,0.3,0.0,1.0,-0.0304894959027057,0.1296277870383225,0.0158737538120515,0.9,0.1,0.9695105040972942,0.7,1.0,1.0,0.25,1.0,0.25
noise_2.0,100,10,2,100,0.0,0.0,0,0.3,0.0,2.0,-0.0545429296895898,0.246744831653101,0.0579080807683936,0.88,0.12,0.9454570703104102,0.7,1.0,1.0,0.25,1.0,0.25
