config_name,n_samples,d_dim,dgp_num,reject_rate_shapiro,reject_rate_ad,reject_rate_both
0_基准,100,10,2,0.0,0.0,0.0
inter_0.25,100,10,2,0.0,0.0,0.0
inter_0.5,100,10,2,0.0,0.0,0.0
inter_1.0,100,10,2,0.0,0.0,0.0
hete_0.15,100,10,2,0.0,0.0,0.0
hete_0.3,100,10,2,0.0,0.0,0.0
hete_0.5,100,10,2,0.0,0.0,0.0
noise_0.5,100,10,2,0.0,0.0,0.0
noise_1.0,100,10,2,0.0,0.0,0.0
noise_2.0,100,10,2,0.0,0.0,0.0
rho_0.3,100,10,2,0.0,0.0,0.0
rho_0.5,100,10,2,0.0,0.0,0.0
rho_0.7,100,10,2,0.0,0.0,0.0
s1_0.5,100,10,2,0.0,0.0,0.0
s1_1.0,100,10,2,0.0,0.0,0.0
s1_2.0,100,10,2,0.0,0.0,0.0
0_基准,100,10,3,0.0,0.0,0.0
inter_0.25,100,10,3,0.0,0.0,0.0
inter_0.5,100,10,3,0.0,0.0,0.0
inter_1.0,100,10,3,0.0,0.0,0.0
hete_0.15,100,10,3,0.0,0.0,0.0
hete_0.3,100,10,3,0.0,0.0,0.0
hete_0.5,100,10,3,0.0,0.0,0.0
noise_0.5,100,10,3,0.0,0.0,0.0
noise_1.0,100,10,3,0.0,0.0,0.0
noise_2.0,100,10,3,0.0,0.0,0.0
rho_0.3,100,10,3,0.0,0.0,0.0
rho_0.5,100,10,3,0.0,0.0,0.0
rho_0.7,100,10,3,0.0,0.0,0.0
s1_0.5,100,10,3,0.0,0.0,0.0
s1_1.0,100,10,3,0.0,0.0,0.0
s1_2.0,100,10,3,0.0,0.0,0.0
0_基准,100,20,2,0.0,0.0,0.0
inter_0.25,100,20,2,0.0,0.0,0.0
inter_0.5,100,20,2,0.0,0.0,0.0
inter_1.0,100,20,2,0.0,0.0,0.0
hete_0.15,100,20,2,0.0,0.0,0.0
hete_0.3,100,20,2,0.0,0.0,0.0
hete_0.5,100,20,2,0.0,0.0,0.0
noise_0.5,100,20,2,0.0,0.0,0.0
noise_1.0,100,20,2,0.0,0.0,0.0
noise_2.0,100,20,2,0.0,0.0,0.0
rho_0.3,100,20,2,0.0,0.0,0.0
rho_0.5,100,20,2,0.0,0.0,0.0
rho_0.7,100,20,2,0.0,0.0,0.0
s1_0.5,100,20,2,0.0,0.0,0.0
s1_1.0,100,20,2,0.0,0.0,0.0
s1_2.0,100,20,2,0.0,0.0,0.0
0_基准,100,20,3,0.0,0.0,0.0
inter_0.25,100,20,3,0.0,0.0,0.0
inter_0.5,100,20,3,0.0,0.0,0.0
inter_1.0,100,20,3,0.0,0.0,0.0
hete_0.15,100,20,3,0.0,0.0,0.0
hete_0.3,100,20,3,0.0,0.0,0.0
hete_0.5,100,20,3,0.0,0.0,0.0
noise_0.5,100,20,3,0.0,0.0,0.0
noise_1.0,100,20,3,0.0,0.0,0.0
noise_2.0,100,20,3,0.0,0.0,0.0
rho_0.3,100,20,3,0.0,0.0,0.0
rho_0.5,100,20,3,0.0,0.0,0.0
rho_0.7,100,20,3,0.0,0.0,0.0
s1_0.5,100,20,3,0.0,0.0,0.0
s1_1.0,100,20,3,0.0,0.0,0.0
s1_2.0,100,20,3,0.0,0.0,0.0
0_基准,100,30,2,0.0,0.0,0.0
inter_0.25,100,30,2,0.0,0.0,0.0
inter_0.5,100,30,2,0.0,0.0,0.0
inter_1.0,100,30,2,0.0,0.0,0.0
hete_0.15,100,30,2,0.0,0.0,0.0
hete_0.3,100,30,2,0.0,0.0,0.0
hete_0.5,100,30,2,0.0,0.0,0.0
noise_0.5,100,30,2,0.0,0.0,0.0
noise_1.0,100,30,2,0.0,0.0,0.0
noise_2.0,100,30,2,0.0,0.0,0.0
rho_0.3,100,30,2,0.0,0.0,0.0
rho_0.5,100,30,2,0.0,0.0,0.0
rho_0.7,100,30,2,0.0,0.0,0.0
s1_0.5,100,30,2,0.0,0.0,0.0
s1_1.0,100,30,2,0.0,0.0,0.0
s1_2.0,100,30,2,0.0,0.0,0.0
0_基准,100,30,3,0.0,0.0,0.0
inter_0.25,100,30,3,0.0,0.0,0.0
inter_0.5,100,30,3,0.0,0.0,0.0
inter_1.0,100,30,3,0.0,0.0,0.0
hete_0.15,100,30,3,0.0,0.0,0.0
hete_0.3,100,30,3,0.0,0.0,0.0
hete_0.5,100,30,3,0.0,0.0,0.0
noise_0.5,100,30,3,0.0,0.0,0.0
noise_1.0,100,30,3,0.0,0.0,0.0
noise_2.0,100,30,3,0.0,0.0,0.0
rho_0.3,100,30,3,0.0,0.0,0.0
rho_0.5,100,30,3,0.0,0.0,0.0
rho_0.7,100,30,3,0.0,0.0,0.0
s1_0.5,100,30,3,0.0,0.0,0.0
s1_1.0,100,30,3,0.0,0.0,0.0
s1_2.0,100,30,3,0.0,0.0,0.0
0_基准,200,10,2,0.0,0.0,0.0
inter_0.25,200,10,2,0.0,0.0,0.0
inter_0.5,200,10,2,0.0,0.0,0.0
inter_1.0,200,10,2,0.0,0.0,0.0
hete_0.15,200,10,2,0.0,0.0,0.0
hete_0.3,200,10,2,0.0,0.0,0.0
hete_0.5,200,10,2,0.0,0.0,0.0
noise_0.5,200,10,2,0.0,0.0,0.0
noise_1.0,200,10,2,0.0,0.0,0.0
noise_2.0,200,10,2,0.0,0.0,0.0
rho_0.3,200,10,2,0.0,1.0,0.0
rho_0.5,200,10,2,0.0,0.0,0.0
rho_0.7,200,10,2,0.0,0.0,0.0
s1_0.5,200,10,2,0.0,0.0,0.0
s1_1.0,200,10,2,0.0,0.0,0.0
s1_2.0,200,10,2,0.0,0.0,0.0
0_基准,200,10,3,1.0,1.0,1.0
inter_0.25,200,10,3,1.0,1.0,1.0
inter_0.5,200,10,3,1.0,1.0,1.0
inter_1.0,200,10,3,1.0,1.0,1.0
hete_0.15,200,10,3,1.0,1.0,1.0
hete_0.3,200,10,3,1.0,1.0,1.0
hete_0.5,200,10,3,1.0,1.0,1.0
noise_0.5,200,10,3,1.0,1.0,1.0
noise_1.0,200,10,3,1.0,1.0,1.0
noise_2.0,200,10,3,1.0,1.0,1.0
rho_0.3,200,10,3,1.0,1.0,1.0
rho_0.5,200,10,3,1.0,1.0,1.0
rho_0.7,200,10,3,1.0,1.0,1.0
s1_0.5,200,10,3,0.0,1.0,0.0
s1_1.0,200,10,3,0.0,1.0,0.0
s1_2.0,200,10,3,0.0,1.0,0.0
0_基准,200,20,2,0.0,0.0,0.0
inter_0.25,200,20,2,0.0,0.0,0.0
inter_0.5,200,20,2,0.0,0.0,0.0
inter_1.0,200,20,2,0.0,0.0,0.0
hete_0.15,200,20,2,0.0,0.0,0.0
hete_0.3,200,20,2,0.0,0.0,0.0
hete_0.5,200,20,2,0.0,0.0,0.0
noise_0.5,200,20,2,0.0,0.0,0.0
noise_1.0,200,20,2,0.0,0.0,0.0
noise_2.0,200,20,2,0.0,0.0,0.0
rho_0.3,200,20,2,0.0,0.0,0.0
rho_0.5,200,20,2,0.0,0.0,0.0
rho_0.7,200,20,2,0.0,0.0,0.0
s1_0.5,200,20,2,0.0,0.0,0.0
s1_1.0,200,20,2,0.0,0.0,0.0
s1_2.0,200,20,2,0.0,0.0,0.0
0_基准,200,20,3,0.0,0.0,0.0
inter_0.25,200,20,3,0.0,0.0,0.0
