config_name,d_dim,dgp_num,N_star,bias_at_N,rmse_at_N,var_at_N,cov_at_N,rej_at_N,rej_norm_both_at_N,status,cov_max,n_at_cov_max,rej_min,n_at_rej_min
0_基准,10,2,100,-0.0323731179972613,0.1240967681422373,0.0143519890944836,0.92,0.08,0.0,ok,,,,
inter_0.25,10,2,50,-0.0140769170740672,0.1630506866314,0.0263873668166608,0.93,0.07,0.0,ok,,,,
inter_0.5,10,2,50,-0.0162935923756084,0.1987578287302957,0.039239193329079,0.95,0.05,0.0,ok,,,,
inter_1.0,10,2,50,-0.0142518579619348,0.3073845849254707,0.0942821675944367,0.96,0.04,0.0,ok,,,,
hete_0.15,10,2,50,-0.0122523924661323,0.1631674743700931,0.0264735035711708,0.92,0.08,0.0,ok,,,,
hete_0.3,10,2,50,-0.0099805553824599,0.1714925799648455,0.0293100934972566,0.93,0.07,0.0,ok,,,,
hete_0.5,10,2,50,-0.0143953907816635,0.2007637117058851,0.0400988406621669,0.95,0.05,0.0,ok,,,,
noise_0.5,10,2,100,-0.0117303698951956,0.0665780288277595,0.0042950323447118,0.91,0.09,0.0,ok,,,,
noise_1.0,10,2,100,-0.0304894959027057,0.1296277870383225,0.0158737538120515,0.9,0.1,0.0,ok,,,,
noise_2.0,10,2,200,-0.0466054080417416,0.1485576590794063,0.0198973140124158,0.94,0.06,0.0,ok,,,,
rho_0.3,10,2,50,-0.012415018248043,0.1552186938107318,0.0239387102302104,0.93,0.07,0.0,ok,,,,
rho_0.5,10,2,50,-0.0190819292809473,0.1641284146181633,0.0265740164599886,0.9,0.1,0.0,ok,,,,
rho_0.7,10,2,100,-0.0292399797982806,0.1289699286668444,0.015778266081727,0.9,0.1,0.0,ok,,,,
s1_0.5,10,2,50,-0.0341614596291037,0.28310998736157,0.0789842596198774,0.9,0.1,0.0,ok,,,,
s1_1.0,10,2,100,-0.0267891994618321,0.1283486040612024,0.0157557029566534,0.9,0.1,0.0,ok,,,,
s1_2.0,10,2,100,-0.0109199300497015,0.0667688587656518,0.0043388356285771,0.9,0.1,0.0,ok,,,,
0_基准,10,3,800,-0.0158403732377052,0.0441226938902448,0.0016958946918224,0.92,0.08,0.0,ok,,,,
inter_0.25,10,3,800,-0.0161745177664934,0.0442821337723308,0.0016992923464519,0.92,0.08,0.0,ok,,,,
inter_0.5,10,3,800,-0.0157916645765737,0.0442889094880293,0.0017121308335398,0.92,0.08,0.0,ok,,,,
inter_1.0,10,3,800,-0.0158848651528874,0.0444137110186104,0.0017202487855192,0.92,0.08,0.0,ok,,,,
hete_0.15,10,3,800,-0.0156037082989709,0.0445707241220179,0.0017430737360816,0.92,0.08,0.0,ok,,,,
