config_name,n_samples,d_dim,dgp_num,n_runs,nonlinearity,interaction,sparse_k,skewness,heterogeneous,true_effect,noise_std,rho,s1,a0,a1,b0,b1,bias,rmse,variance,coverage_rate,rejection_rate,mean_estimate
0_基准,100,3,2,100,0.0,0.0,0,0.3,0.0,1.0,1.0,0.7,1.0,1.0,0.25,1.0,0.25,-0.03437942023837337,0.13106138195201586,0.015995141303245516,0.86,1.0,0.9656205797616266
inter_0.25,100,3,2,100,0.0,0.25,0,0.3,0.0,1.0,1.0,0.7,1.0,1.0,0.25,1.0,0.25,-0.03299920112963062,0.14419217633396195,0.019702436440730553,0.86,1.0,0.9670007988703694
inter_0.5,100,3,2,100,0.0,0.5,0,0.3,0.0,1.0,1.0,0.7,1.0,1.0,0.25,1.0,0.25,-0.03166682045944813,0.17547141534413946,0.029787430084864584,0.86,1.0,0.9683331795405519
inter_1.0,100,3,2,100,0.0,1.0,0,0.3,0.0,1.0,1.0,0.7,1.0,1.0,0.25,1.0,0.25,-0.021123407551152718,0.2556026104923811,0.0648864961439478,0.86,0.96,0.9788765924488473
hete_0.15,100,3,2,100,0.0,0.0,0,0.3,0.15,1.0,1.0,0.7,1.0,1.0,0.25,1.0,0.25,-0.029737327782423217,0.13010926344386983,0.016044111770267048,0.87,1.0,0.9702626722175768
hete_0.3,100,3,2,100,0.0,0.0,0,0.3,0.3,1.0,1.0,0.7,1.0,1.0,0.25,1.0,0.25,-0.029967686433467366,0.1445402622008594,0.019993825166918545,0.87,1.0,0.9700323135665326
hete_0.5,100,3,2,100,0.0,0.0,0,0.3,0.5,1.0,1.0,0.7,1.0,1.0,0.25,1.0,0.25,-0.027141541651972134,0.1704114316911745,0.0283033927677901,0.87,1.0,0.9728584583480279
noise_0.5,100,3,2,100,0.0,0.0,0,0.3,0.0,1.0,0.5,0.7,1.0,1.0,0.25,1.0,0.25,-0.010911664980749025,0.06650266684804597,0.004303540265250088,0.9,1.0,0.989088335019251
noise_1.0,100,3,2,100,0.0,0.0,0,0.3,0.0,1.0,1.0,0.7,1.0,1.0,0.25,1.0,0.25,-0.03235486565370915,0.1267658063022251,0.015022732315983675,0.88,1.0,0.9676451343462908
noise_2.0,100,3,2,100,0.0,0.0,0,0.3,0.0,1.0,2.0,0.7,1.0,1.0,0.25,1.0,0.25,-0.06419831814484345,0.2492719206478212,0.0580150663708271,0.88,0.99,0.9358016818551566
rho_0.3,100,3,2,100,0.0,0.0,0,0.3,0.0,1.0,1.0,0.3,1.0,1.0,0.25,1.0,0.25,-0.03077119153248231,0.13176280737567855,0.016414571179191456,0.83,1.0,0.9692288084675177
rho_0.5,100,3,2,100,0.0,0.0,0,0.3,0.0,1.0,1.0,0.5,1.0,1.0,0.25,1.0,0.25,-0.03186893264495927,0.12446136437299733,0.014475002353659066,0.87,1.0,0.9681310673550407
rho_0.7,100,3,2,100,0.0,0.0,0,0.3,0.0,1.0,1.0,0.7,1.0,1.0,0.25,1.0,0.25,-0.03440997639907617,0.12846880461129256,0.015320187282469476,0.87,1.0,0.9655900236009238
s1_0.5,100,3,2,100,0.0,0.0,0,0.3,0.0,1.0,1.0,0.7,0.5,1.0,0.25,1.0,0.25,-0.054305924789838866,0.24633279867488672,0.057730714235722624,0.86,0.99,0.9456940752101611
s1_1.0,100,3,2,100,0.0,0.0,0,0.3,0.0,1.0,1.0,0.7,1.0,1.0,0.25,1.0,0.25,-0.03470020056244261,0.12827857042477459,0.015251287711150094,0.87,1.0,0.9652997994375574
s1_2.0,100,3,2,100,0.0,0.0,0,0.3,0.0,1.0,1.0,0.7,2.0,1.0,0.25,1.0,0.25,-0.01591324899487634,0.06636148779437982,0.004150615568710695,0.88,1.0,0.9840867510051237
