config_name,n_samples,d_dim,dgp_num,n_runs,nonlinearity,interaction,sparse_k,skewness,heterogeneous,noise_std,bias,rmse,variance,coverage_rate,rejection_rate,mean_estimate,rho,s1,a0,a1,b0,b1
rho_0.5,100,10,2,100,0.0,0.0,0,0.3,0.0,1.0,-0.0300495875291004,0.1273560093461937,0.0153165754059187,0.92,0.08,0.9699504124708996,0.5,1.0,1.0,0.25,1.0,0.25
rho_0.5,100,10,3,100,0.0,0.0,0,0.3,0.0,1.0,-0.0585350736465951,0.1361714412249959,0.0151163065584802,0.85,0.15,0.9414649263534048,0.5,1.0,1.0,0.25,1.0,0.25
rho_0.5,100,20,2,100,0.0,0.0,0,0.3,0.0,1.0,0.0039591330070523,0.115326877305489,0.0132846138948677,0.91,0.09,1.0039591330070523,0.5,1.0,1.0,0.25,1.0,0.25
rho_0.5,100,20,3,100,0.0,0.0,0,0.3,0.0,1.0,-0.0300960703462632,0.1082207164095974,0.0108059500099192,0.9,0.1,0.9699039296537368,0.5,1.0,1.0,0.25,1.0,0.25
rho_0.5,100,30,2,100,0.0,0.0,0,0.3,0.0,1.0,-0.0066273756633207,0.1190295495479611,0.0141241115574077,0.91,0.09,0.9933726243366792,0.5,1.0,1.0,0.25,1.0,0.25
rho_0.5,100,30,3,100,0.0,0.0,0,0.3,0.0,1.0,-0.001720013544637,0.1104587860479754,0.0121981849685986,0.93,0.07,0.998279986455363,0.5,1.0,1.0,0.25,1.0,0.25
rho_0.5,200,10,2,100,0.0,0.0,0,0.3,0.0,1.0,-0.0231670116894541,0.0785400761299266,0.0056318331278753,0.94,0.06,0.976832988310546,0.5,1.0,1.0,0.25,1.0,0.25
rho_0.5,200,10,3,100,0.0,0.0,0,0.3,0.0,1.0,-0.0215239740564358,0.0794857450935568,0.0058547022138957,0.92,0.08,0.9784760259435642,0.5,1.0,1.0,0.25,1.0,0.25
rho_0.5,200,20,2,100,0.0,0.0,0,0.3,0.0,1.0,0.0064133117885258,0.0794929742259614,0.0062780023831925,0.94,0.06,1.006413311788526,0.5,1.0,1.0,0.25,1.0,0.25
rho_0.5,200,20,3,100,0.0,0.0,0,0.3,0.0,1.0,-0.0157859730624894,0.0781647791127247,0.0058605357482114,0.94,0.06,0.9842140269375106,0.5,1.0,1.0,0.25,1.0,0.25
