config_name,n_samples,d_dim,dgp_num,n,W,p_shapiro,A2,reject_shapiro,reject_ad,reject_both
0_基准,100,10,2,100,0.9910435518016317,0.7484182997985176,0.28225491157343185,False,False,False
inter_0.25,100,10,2,100,0.990445025171886,0.7005621998516169,0.1694009436186832,False,False,False
inter_0.5,100,10,2,100,0.9886134398671974,0.5544759923536144,0.23085498430057783,False,False,False
inter_1.0,100,10,2,100,0.9835179847436453,0.2471593855423237,0.4019822782309177,False,False,False
hete_0.15,100,10,2,100,0.9934935689581207,0.9159715127030879,0.18963113317472846,False,False,False
hete_0.3,100,10,2,100,0.9926740103459807,0.8676374746014586,0.11900678151421573,False,False,False
hete_0.5,100,10,2,100,0.9884283195551915,0.5403051101416259,0.22653499246725062,False,False,False
noise_0.5,100,10,2,100,0.9861942557826835,0.38575759869970216,0.6507527484944973,False,False,False
noise_1.0,100,10,2,100,0.9898591263258436,0.653208701888421,0.32993459826920457,False,False,False
noise_2.0,100,10,2,100,0.989095033118831,0.592059497374401,0.3451898568355318,False,False,False
rho_0.3,100,10,2,100,0.9930300312483911,0.889864231803182,0.21735231212642248,False,False,False
rho_0.5,100,10,2,100,0.9929109412516461,0.8826272393778538,0.24321535542839,False,False,False
rho_0.7,100,10,2,100,0.9895760039256402,0.6303996839571233,0.3559684890745274,False,False,False
s1_0.5,100,10,2,100,0.9897195199139609,0.6419464759124724,0.33881803806589517,False,False,False
s1_1.0,100,10,2,100,0.9893677126690119,0.6137176772751496,0.36572847107554196,False,False,False
s1_2.0,100,10,2,100,0.9908054280390185,0.729503324778596,0.29528556576296694,False,False,False
0_基准,100,10,3,100,0.9841690085557816,0.27623770268490033,0.664999083980149,False,False,False
inter_0.25,100,10,3,100,0.9840754390977025,0.2718829745424738,0.6726702385579273,False,False,False
inter_0.5,100,10,3,100,0.9858044558879566,0.3623589553706891,0.6150681679534387,False,False,False
inter_1.0,100,10,3,100,0.9857889218960052,0.3614496240416232,0.60737296646451,False,False,False
hete_0.15,100,10,3,100,0.9842989881412668,0.28238672607130777,0.6859525894556384,False,False,False
