config_name,n_samples,d_dim,dgp_num,n_runs,nonlinearity,sparse_k,skewness,interaction,heterogeneous,noise_std,rho,s1,a0,a1,b0,b1,bias,rmse,variance,coverage_rate,rejection_rate,mean_estimate
0_基准,800,30,3,100,0.0,0,0.3,0.0,0.0,1.0,0.7,1.0,1.0,0.25,1.0,0.25,-0.01724931419307918,0.03972692790750719,0.0012806899608367166,0.93,0.07,0.9827506858069208
inter_0.25,800,30,3,100,0.0,0,0.3,0.25,0.0,1.0,0.7,1.0,1.0,0.25,1.0,0.25,-0.01732232962645952,0.03969750701328848,0.0012758289593823738,0.93,0.07,0.9826776703735405
inter_0.5,800,30,3,100,0.0,0,0.3,0.5,0.0,1.0,0.7,1.0,1.0,0.25,1.0,0.25,-0.017607679944562027,0.039388947413123696,0.001241458785283696,0.93,0.07,0.982392320055438
inter_1.0,800,30,3,100,0.0,0,0.3,1.0,0.0,1.0,0.7,1.0,1.0,0.25,1.0,0.25,-0.017432101017603285,0.03934927004758319,0.001244486907389704,0.93,0.07,0.9825678989823967
hete_0.15,800,30,3,100,0.0,0,0.3,0.0,0.15,1.0,0.7,1.0,1.0,0.25,1.0,0.25,-0.017882310221533415,0.04009326081843474,0.0012876925441958785,0.92,0.08,0.9821176897784666
hete_0.3,800,30,3,100,0.0,0,0.3,0.0,0.3,1.0,0.7,1.0,1.0,0.25,1.0,0.25,-0.01788504531658386,0.0400933993065572,0.0012876058219787841,0.92,0.08,0.9821149546834161
hete_0.5,800,30,3,100,0.0,0,0.3,0.0,0.5,1.0,0.7,1.0,1.0,0.25,1.0,0.25,-0.01827401682728147,0.04006445752430804,0.0012712210657133134,0.92,0.08,0.9817259831727185
noise_0.5,800,30,3,100,0.0,0,0.3,0.0,0.0,0.5,0.7,1.0,1.0,0.25,1.0,0.25,-0.018183002200760523,0.04004459111949393,0.0012729477088945875,0.92,0.08,0.9818169977992395
noise_1.0,800,30,3,100,0.0,0,0.3,0.0,0.0,1.0,0.7,1.0,1.0,0.25,1.0,0.25,-0.017930331024618162,0.03978149609621877,0.0012610706610010811,0.92,0.08,0.9820696689753818
noise_2.0,800,30,3,100,0.0,0,0.3,0.0,0.0,2.0,0.7,1.0,1.0,0.25,1.0,0.25,-0.017983141615690146,0.03975755388814607,0.0012572697087988663,0.92,0.08,0.9820168583843099
rho_0.3,800,30,3,100,0.0,0,0.3,0.0,0.0,1.0,0.3,1.0,1.0,0.25,1.0,0.25,-0.017900018875668833,0.03968245683880764,0.0012542867050145236,0.92,0.08,0.9820999811243312
rho_0.5,800,30,3,100,0.0,0,0.3,0.0,0.0,1.0,0.5,1.0,1.0,0.25,1.0,0.25,-0.018028589577957166,0.03967250108389669,0.0012488773000813504,0.92,0.08,0.9819714104220428
rho_0.7,800,30,3,100,0.0,0,0.3,0.0,0.0,1.0,0.7,1.0,1.0,0.25,1.0,0.25,-0.018256434266884614,0.04004445335645769,0.001270260852476433,0.91,0.09,0.9817435657331154
s1_0.5,800,30,3,100,0.0,0,0.3,0.0,0.0,1.0,0.7,0.5,1.0,0.25,1.0,0.25,-0.018282469846370497,0.04003662988187947,0.0012686830286151576,0.91,0.09,0.9817175301536295
s1_1.0,800,30,3,100,0.0,0,0.3,0.0,0.0,1.0,0.7,1.0,1.0,0.25,1.0,0.25,-0.017441772350115792,0.04014089880193569,0.0013070763339139777,0.91,0.09,0.9825582276498842
s1_2.0,800,30,3,100,0.0,0,0.3,0.0,0.0,1.0,0.7,2.0,1.0,0.25,1.0,0.25,-0.018552326588462287,0.04002929116082468,0.0012581553289931105,0.91,0.09,0.9814476734115377
