config_name,n_samples,d_dim,dgp_num,n_runs,nonlinearity,interaction,sparse_k,skewness,heterogeneous,true_effect,true_theta,noise_std,bias,rmse,variance,coverage_rate,rejection_rate,mean_estimate,rho,s1,a0,a1,b0,b1
0_base,100,100,2,100,0.0,0.0,0,0.3,0.0,1.0,1.0,1.0,-0.011072784221132,0.1175480808646691,0.013694944764559,0.89,0.11,0.988927215778868,0.7,1.0,1.0,0.25,1.0,0.25
inter_0.25,100,100,2,100,0.0,0.25,0,0.3,0.0,1.0,0.9978727765165272,1.0,-0.023684714286574,0.1218001933691514,0.0138250632124207,0.94,0.06,0.9741880622299532,0.7,1.0,1.0,0.25,1.0,0.25
inter_0.5,100,100,2,100,0.0,0.5,0,0.3,0.0,1.0,0.994909286078513,1.0,-0.046279223845478,0.145078340782597,0.0194300504767715,0.95,0.05,0.9486300622330348,0.7,1.0,1.0,0.25,1.0,0.25
inter_1.0,100,100,2,100,0.0,1.0,0,0.3,0.0,1.0,0.990595727163641,1.0,-0.0921406148263432,0.2180992325506672,0.0459271524259594,0.95,0.05,0.8984551123372977,0.7,1.0,1.0,0.25,1.0,0.25
hete_0.15,100,100,2,100,0.0,0.0,0,0.3,0.15,1.0,0.998563981321903,1.0,-0.0126622084315296,0.119052654638415,0.0137109238146665,0.94,0.06,0.9859017728903734,0.7,1.0,1.0,0.25,1.0,0.25
hete_0.3,100,100,2,100,0.0,0.0,0,0.3,0.3,1.0,0.9971220871307496,1.0,-0.0216074431944673,0.1197265009603279,0.013856702575142,0.93,0.07,0.9755146439362822,0.7,1.0,1.0,0.25,1.0,0.25
hete_0.5,100,100,2,100,0.0,0.0,0,0.3,0.5,1.0,0.9956618180918404,1.0,-0.0378566385754026,0.1378182118995879,0.0184110904149512,0.96,0.04,0.9578051795164376,0.7,1.0,1.0,0.25,1.0,0.25
noise_0.5,100,100,2,100,0.0,0.0,0,0.3,0.0,1.0,1.0,0.5,0.0043150309036971,0.0657270943419284,0.0043014314389328,0.88,0.12,1.0043150309036972,0.7,1.0,1.0,0.25,1.0,0.25
noise_1.0,100,100,2,100,0.0,0.0,0,0.3,0.0,1.0,1.0,1.0,-0.0016730727675799,0.1201200230578273,0.0144260207669273,0.88,0.12,0.99832692723242,0.7,1.0,1.0,0.25,1.0,0.25
noise_2.0,100,100,2,100,0.0,0.0,0,0.3,0.0,1.0,1.0,2.0,0.0016784278958312,0.2346366070452213,0.0550515202454921,0.88,0.12,1.0016784278958313,0.7,1.0,1.0,0.25,1.0,0.25
s1_0.5,100,100,2,100,0.0,0.0,0,0.3,0.0,1.0,1.0,1.0,0.0192768697659353,0.2208492999644286,0.0484028155868053,0.89,0.11,1.0192768697659356,0.7,0.5,1.0,0.25,1.0,0.25
s1_1.0,100,100,2,100,0.0,0.0,0,0.3,0.0,1.0,1.0,1.0,-0.0065873625196817,0.1207047047554024,0.0145262324051231,0.88,0.12,0.9934126374803184,0.7,1.0,1.0,0.25,1.0,0.25
s1_2.0,100,100,2,100,0.0,0.0,0,0.3,0.0,1.0,1.0,1.0,-0.0050827745050627,0.0686734072003004,0.0046902022598289,0.86,0.14,0.9949172254949372,0.7,2.0,1.0,0.25,1.0,0.25
ind_nl_mD,100,100,2,100,0.0,0.0,0,0.3,0.0,1.0,1.0,1.0,0.0016068349652068,0.1283822294013401,0.0164794149074528,0.87,0.13,1.0016068349652067,0.7,1.0,0.0,2.0,1.0,0.25
ind_nl_mY,100,100,2,100,0.0,0.0,0,0.3,0.0,1.0,1.0,1.0,-0.0017878282499975,0.1222126153170741,0.0149327270127876,0.89,0.11,0.9982121717500024,0.7,1.0,1.0,0.25,2.0,0.0
ind_nl_both,100,100,2,100,0.0,0.0,0,0.3,0.0,1.0,1.0,1.0,-0.0144438245651104,0.1260206679961159,0.0156725846941195,0.88,0.12,0.9855561754348896,0.7,1.0,0.0,2.0,2.0,0.0
ind_skew_Dpos,100,100,2,100,0.0,0.0,0,0.3,0.0,1.0,1.0,1.0,0.0685470046206482,0.5318184330703879,0.2781321539109795,0.88,0.12,1.0685470046206482,0.7,0.2,0.0,4.0,1.0,0.25
ind_skew_Dneg,100,100,2,100,0.0,0.0,0,0.3,0.0,1.0,1.0,1.0,-0.1312254449321741,0.4439947045261487,0.1799111802496149,0.91,0.09,0.8687745550678256,0.7,0.2,0.0,-4.0,1.0,0.25
ind_skew_Y,100,100,2,100,0.0,0.0,0,0.3,0.0,1.0,1.0,0.5,0.0076098414983812,0.0678077309891875,0.0045399786942715,0.89,0.11,1.0076098414983814,0.7,1.0,1.0,0.25,4.0,0.0
0_base,100,100,3,100,0.0,0.0,0,0.3,0.0,1.0,1.0,1.0,0.0033699894452388,0.1185835363093515,0.0140506982547702,0.89,0.11,1.0033699894452388,0.7,1.0,1.0,0.25,1.0,0.25
inter_0.25,100,100,3,100,0.0,0.25,0,0.3,0.0,1.0,1.0027757646285065,1.0,-0.0101553059708123,0.1222439317490802,0.0146741675377699,0.92,0.08,0.9926204586576942,0.7,1.0,1.0,0.25,1.0,0.25
inter_0.5,100,100,3,100,0.0,0.5,0,0.3,0.0,1.0,1.0055718816304884,1.0,-0.0364777436157945,0.1400061132801666,0.019462753661445,0.95,0.05,0.9690941380146938,0.7,1.0,1.0,0.25,1.0,0.25
inter_1.0,100,100,3,100,0.0,1.0,0,0.3,0.0,1.0,1.010615646304466,1.0,-0.0908160010126098,0.2112804682471408,0.0431949827762336,0.98,0.02,0.9197996452918562,0.7,1.0,1.0,0.25,1.0,0.25
hete_0.15,100,100,3,100,0.0,0.0,0,0.3,0.15,1.0,1.001507574704535,1.0,-0.0026030970636438,0.1184109555739193,0.0137822167607494,0.91,0.09,0.9989044776408909,0.7,1.0,1.0,0.25,1.0,0.25
