config_name,n_samples,d_dim,dgp_num,n_runs,nonlinearity,interaction,sparse_k,skewness,heterogeneous,true_effect,noise_std,bias,rmse,variance,coverage_rate,rejection_rate,mean_estimate,true_theta,rho,s1,a0,a1,b0,b1
ind_nl_both,100,100,2,100,0.0,0.0,0,0.3,0.0,1.0,1.0,-0.0144438245651104,0.1260206679961159,0.0156725846941195,0.88,0.12,0.9855561754348896,1.0,0.7,1.0,0.0,2.0,2.0,0.0
ind_nl_both,100,100,3,100,0.0,0.0,0,0.3,0.0,1.0,1.0,-0.009015138776865,0.1230917280134488,0.0150703007781707,0.85,0.15,0.9909848612231352,1.0,0.7,1.0,0.0,2.0,2.0,0.0
ind_nl_both,100,20,2,100,0.0,0.0,0,0.3,0.0,1.0,1.0,-0.0112079773283322,0.1258795984241869,0.0157200545436421,0.86,0.14,0.988792022671668,1.0,0.7,1.0,0.0,2.0,2.0,0.0
ind_nl_both,100,20,3,100,0.0,0.0,0,0.3,0.0,1.0,1.0,-0.0241527998137227,0.1088296219727424,0.0112605288798882,0.9,0.1,0.9758472001862774,1.0,0.7,1.0,0.0,2.0,2.0,0.0
ind_nl_both,100,5,2,100,0.0,0.0,0,0.3,0.0,1.0,1.0,-0.0260839554454322,0.112654292731516,0.0120106169391588,0.93,0.07,0.9739160445545678,1.0,0.7,1.0,0.0,2.0,2.0,0.0
ind_nl_both,100,5,3,100,0.0,0.0,0,0.3,0.0,1.0,1.0,-0.0019656969837164,0.1106699531568581,0.0122439745671093,0.88,0.12,0.9980343030162836,1.0,0.7,1.0,0.0,2.0,2.0,0.0
ind_nl_both,2000,100,2,100,0.0,0.0,0,0.3,0.0,1.0,1.0,-0.0168621641930922,0.0291059621153119,0.0005628244493831,0.87,0.13,0.9831378358069076,1.0,0.7,1.0,0.0,2.0,2.0,0.0
ind_nl_both,2000,100,3,100,0.0,0.0,0,0.3,0.0,1.0,1.0,-0.0109550090359563,0.024367340462785,0.0004737550582513,0.96,0.04,0.9890449909640436,1.0,0.7,1.0,0.0,2.0,2.0,0.0
ind_nl_both,2000,20,2,100,0.0,0.0,0,0.3,0.0,1.0,1.0,-0.0189933656302368,0.0292159787928186,0.0004928254788585,0.88,0.12,0.9810066343697632,1.0,0.7,1.0,0.0,2.0,2.0,0.0
ind_nl_both,2000,20,3,100,0.0,0.0,0,0.3,0.0,1.0,1.0,-0.01473252300734,0.0301569251546986,0.0006923929006242,0.86,0.14,0.98526747699266,1.0,0.7,1.0,0.0,2.0,2.0,0.0
ind_nl_both,2000,5,2,100,0.0,0.0,0,0.3,0.0,1.0,1.0,-0.0211428832679208,0.0345148939903534,0.0007442563942844,0.8,0.2,0.9788571167320792,1.0,0.7,1.0,0.0,2.0,2.0,0.0
ind_nl_both,2000,5,3,100,0.0,0.0,0,0.3,0.0,1.0,1.0,-0.0197659399524383,0.0306985035455793,0.0005517057377345,0.86,0.14,0.9802340600475616,1.0,0.7,1.0,0.0,2.0,2.0,0.0
ind_nl_both,200,100,2,100,0.0,0.0,0,0.3,0.0,1.0,1.0,-0.012462505403052,0.0758088141070587,0.0055916622553974,0.96,0.04,0.987537494596948,1.0,0.7,1.0,0.0,2.0,2.0,0.0
ind_nl_both,200,100,3,100,0.0,0.0,0,0.3,0.0,1.0,1.0,-0.0069880462436911,0.0876536989265874,0.0076343381452088,0.92,0.08,0.993011953756309,1.0,0.7,1.0,0.0,2.0,2.0,0.0
ind_nl_both,200,20,2,100,0.0,0.0,0,0.3,0.0,1.0,1.0,-0.0069170903540322,0.0792727831949722,0.0062363280165112,0.93,0.07,0.9930829096459676,1.0,0.7,1.0,0.0,2.0,2.0,0.0
ind_nl_both,200,20,3,100,0.0,0.0,0,0.3,0.0,1.0,1.0,-0.0157996174303499,0.0782014211481045,0.0058658343586377,0.94,0.06,0.98420038256965,1.0,0.7,1.0,0.0,2.0,2.0,0.0
ind_nl_both,200,5,2,100,0.0,0.0,0,0.3,0.0,1.0,1.0,-0.0185583185510274,0.0797342040191585,0.0060131321031273,0.91,0.09,0.9814416814489724,1.0,0.7,1.0,0.0,2.0,2.0,0.0
ind_nl_both,200,5,3,100,0.0,0.0,0,0.3,0.0,1.0,1.0,-0.0304675406793282,0.081955010467168,0.005788352705627,0.92,0.08,0.9695324593206716,1.0,0.7,1.0,0.0,2.0,2.0,0.0
ind_nl_both,400,100,2,100,0.0,0.0,0,0.3,0.0,1.0,1.0,-0.0120471620613129,0.052939314031657,0.0026574368564108,0.95,0.05,0.987952837938687,1.0,0.7,1.0,0.0,2.0,2.0,0.0
ind_nl_both,400,100,3,100,0.0,0.0,0,0.3,0.0,1.0,1.0,-0.0147761186413109,0.0530431889667902,0.0025952462136645,0.96,0.04,0.9852238813586892,1.0,0.7,1.0,0.0,2.0,2.0,0.0
ind_nl_both,400,20,2,100,0.0,0.0,0,0.3,0.0,1.0,1.0,-0.023278700280765,0.0631053996800121,0.0034403935820123,0.88,0.12,0.9767212997192348,1.0,0.7,1.0,0.0,2.0,2.0,0.0
ind_nl_both,400,20,3,100,0.0,0.0,0,0.3,0.0,1.0,1.0,-0.0068206470766994,0.0549888630080125,0.002977253828369,0.92,0.08,0.9931793529233004,1.0,0.7,1.0,0.0,2.0,2.0,0.0
ind_nl_both,400,5,2,100,0.0,0.0,0,0.3,0.0,1.0,1.0,-0.0129606761305478,0.0569364186329242,0.0030737766409826,0.91,0.09,0.9870393238694524,1.0,0.7,1.0,0.0,2.0,2.0,0.0
ind_nl_both,400,5,3,100,0.0,0.0,0,0.3,0.0,1.0,1.0,-0.0195104079249844,0.0677403851021918,0.0042081037563939,0.87,0.13,0.9804895920750156,1.0,0.7,1.0,0.0,2.0,2.0,0.0
ind_nl_both,50,100,2,100,0.0,0.0,0,0.3,0.0,1.0,1.0,-0.0159650955869193,0.1720393713968454,0.0293426610335222,0.85,0.15,0.9840349044130806,1.0,0.7,1.0,0.0,2.0,2.0,0.0
ind_nl_both,50,100,3,100,0.0,0.0,0,0.3,0.0,1.0,1.0,0.0332608707086806,0.1567422174103802,0.0234618371984233,0.88,0.12,1.0332608707086808,1.0,0.7,1.0,0.0,2.0,2.0,0.0
ind_nl_both,50,20,2,100,0.0,0.0,0,0.3,0.0,1.0,1.0,-0.0533308537175135,0.1698223241103313,0.0259954418079956,0.89,0.11,0.9466691462824862,1.0,0.7,1.0,0.0,2.0,2.0,0.0
ind_nl_both,50,20,3,100,0.0,0.0,0,0.3,0.0,1.0,1.0,0.0322523305308703,0.16881020661676,0.0274566730333207,0.84,0.16,1.0322523305308704,1.0,0.7,1.0,0.0,2.0,2.0,0.0
ind_nl_both,50,5,2,100,0.0,0.0,0,0.3,0.0,1.0,1.0,-0.007052038454974,0.1758657182208866,0.0308790195989778,0.85,0.15,0.992947961545026,1.0,0.7,1.0,0.0,2.0,2.0,0.0
ind_nl_both,50,5,3,100,0.0,0.0,0,0.3,0.0,1.0,1.0,-0.0202374370996736,0.1742355580338447,0.029948475823002,0.85,0.15,0.9797625629003264,1.0,0.7,1.0,0.0,2.0,2.0,0.0
ind_nl_both,800,100,2,100,0.0,0.0,0,0.3,0.0,1.0,1.0,-0.0168994118453944,0.0400671295110731,0.0013197847465368,0.92,0.08,0.9831005881546055,1.0,0.7,1.0,0.0,2.0,2.0,0.0
ind_nl_both,800,100,3,100,0.0,0.0,0,0.3,0.0,1.0,1.0,-0.0112229297424476,0.0431886990897904,0.0017393095770645,0.88,0.12,0.9887770702575522,1.0,0.7,1.0,0.0,2.0,2.0,0.0
