config_name,n_samples,d_dim,dgp_num,n_runs,nonlinearity,interaction,sparse_k,skewness,heterogeneous,true_effect,noise_std,bias,rmse,variance,coverage_rate,rejection_rate,mean_estimate,true_theta,rho,s1,a0,a1,b0,b1
inter_0.25,100,100,2,100,0.0,0.25,0,0.3,0.0,1.0,1.0,-0.023684714286574,0.1218001933691514,0.0138250632124207,0.94,0.06,0.9741880622299532,0.9978727765165272,0.7,1.0,1.0,0.25,1.0,0.25
inter_0.25,100,100,3,100,0.0,0.25,0,0.3,0.0,1.0,1.0,-0.0101553059708123,0.1222439317490802,0.0146741675377699,0.92,0.08,0.9926204586576942,1.0027757646285065,0.7,1.0,1.0,0.25,1.0,0.25
inter_0.25,100,20,2,100,0.0,0.25,0,0.3,0.0,1.0,1.0,0.004051165449478,0.1235468427694033,0.0162005765523829,0.88,0.12,1.0064124598353132,1.002361294385835,0.7,1.0,1.0,0.25,1.0,0.25
inter_0.25,100,20,3,100,0.0,0.25,0,0.3,0.0,1.0,1.0,-0.0358976006172369,0.1190230447342193,0.0132898648035632,0.94,0.06,0.96529223555129,1.001189836168527,0.7,1.0,1.0,0.25,1.0,0.25
inter_0.25,100,5,2,100,0.0,0.25,0,0.3,0.0,1.0,1.0,-0.0174150753406399,0.124938821764329,0.0142480075532291,0.88,0.12,0.983499213034548,1.0009142883751885,0.7,1.0,1.0,0.25,1.0,0.25
inter_0.25,100,5,3,100,0.0,0.25,0,0.3,0.0,1.0,1.0,-0.0005150220711978,0.1301057260912093,0.0191532839220009,0.9,0.1,1.0016144929497444,1.002129515020942,0.7,1.0,1.0,0.25,1.0,0.25
inter_0.25,2000,100,2,100,0.0,0.25,0,0.3,0.0,1.0,1.0,-0.0150930954817872,0.02944563851025,0.0007058642047549,0.89,0.11,0.985042146039033,1.0001352415208205,0.7,1.0,1.0,0.25,1.0,0.25
inter_0.25,2000,100,3,100,0.0,0.25,0,0.3,0.0,1.0,1.0,-0.0117484197236883,0.0269221493873838,0.0006034207310886,0.94,0.06,0.9882179275907608,0.9999663473144492,0.7,1.0,1.0,0.25,1.0,0.25
inter_0.25,2000,20,2,100,0.0,0.25,0,0.3,0.0,1.0,1.0,-0.0152490051125904,0.0295461258605793,0.0006989574035393,0.88,0.12,0.9847842788908592,1.0000332840034494,0.7,1.0,1.0,0.25,1.0,0.25
inter_0.25,2000,20,3,100,0.0,0.25,0,0.3,0.0,1.0,1.0,-0.0191815855820114,0.0331033688775307,0.000741312635098,0.85,0.15,0.9813981024114952,1.000579687993507,0.7,1.0,1.0,0.25,1.0,0.25
inter_0.25,2000,5,2,100,0.0,0.25,0,0.3,0.0,1.0,1.0,-0.0170012098401686,0.0323881232974166,0.0007988990874837,0.86,0.14,0.983029611884516,1.0000308217246845,0.7,1.0,1.0,0.25,1.0,0.25
inter_0.25,2000,5,3,100,0.0,0.25,0,0.3,0.0,1.0,1.0,-0.0224594402306628,0.0329712126556437,0.0006037743415074,0.89,0.11,0.9778202085326207,1.0002796487632837,0.7,1.0,1.0,0.25,1.0,0.25
inter_0.25,200,100,2,100,0.0,0.25,0,0.3,0.0,1.0,1.0,-0.0129388329370483,0.0894517470336062,0.0085038768362472,0.92,0.08,0.988023909321564,1.000962742258612,0.7,1.0,1.0,0.25,1.0,0.25
inter_0.25,200,100,3,100,0.0,0.25,0,0.3,0.0,1.0,1.0,-0.0317007226100041,0.0918118854523191,0.0076506542585496,0.9,0.1,0.9693169993436268,1.0010177219536311,0.7,1.0,1.0,0.25,1.0,0.25
