config_name,n_samples,d_dim,dgp_num,n_runs,nonlinearity,interaction,sparse_k,skewness,heterogeneous,true_effect,noise_std,bias,rmse,variance,coverage_rate,rejection_rate,mean_estimate,true_theta,rho,s1,a0,a1,b0,b1
0_base,100,3,2,100,0.0,0.0,0,0.3,0.0,1.0,1.0,-0.0343794202383733,0.1310613819520158,0.0159951413032455,0.86,0.14,0.9656205797616266,1.0,0.7,1.0,1.0,0.25,1.0,0.25
0_base,100,3,3,100,0.0,0.0,0,0.3,0.0,1.0,1.0,-0.0256516089911228,0.1280136698063635,0.0157294946134592,0.88,0.12,0.9743483910088772,1.0,0.7,1.0,1.0,0.25,1.0,0.25
0_base,100,5,2,100,0.0,0.0,0,0.3,0.0,1.0,1.0,-0.0169997602505346,0.1160186762963016,0.0131713414009703,0.91,0.09,0.9830002397494652,1.0,0.7,1.0,1.0,0.25,1.0,0.25
0_base,100,5,3,100,0.0,0.0,0,0.3,0.0,1.0,1.0,0.0012685436195019,0.1120334571152243,0.0125498863102742,0.87,0.13,1.001268543619502,1.0,0.7,1.0,1.0,0.25,1.0,0.25
0_base,200,3,2,100,0.0,0.0,0,0.3,0.0,1.0,1.0,-0.0244409698915232,0.0852149460679523,0.0066642260241256,0.94,0.06,0.9755590301084768,1.0,0.7,1.0,1.0,0.25,1.0,0.25
0_base,200,3,3,100,0.0,0.0,0,0.3,0.0,1.0,1.0,-0.0156132640604381,0.0914378455169333,0.0081171055781575,0.85,0.15,0.9843867359395618,1.0,0.7,1.0,1.0,0.25,1.0,0.25
0_base,200,5,2,100,0.0,0.0,0,0.3,0.0,1.0,1.0,-0.0158711477830919,0.088115199438519,0.0075123950401372,0.89,0.11,0.984128852216908,1.0,0.7,1.0,1.0,0.25,1.0,0.25
0_base,200,5,3,100,0.0,0.0,0,0.3,0.0,1.0,1.0,-0.0263029707080138,0.0843569677465534,0.0064242517393264,0.89,0.11,0.9736970292919862,1.0,0.7,1.0,1.0,0.25,1.0,0.25
0_base,400,3,2,100,0.0,0.0,0,0.3,0.0,1.0,1.0,-0.0199433798901435,0.0644532344805695,0.0037564810335646,0.85,0.15,0.9800566201098564,1.0,0.7,1.0,1.0,0.25,1.0,0.25
0_base,400,3,3,100,0.0,0.0,0,0.3,0.0,1.0,1.0,-0.016394543234954,0.0625746014160468,0.0036467996944943,0.89,0.11,0.983605456765046,1.0,0.7,1.0,1.0,0.25,1.0,0.25
0_base,400,5,2,100,0.0,0.0,0,0.3,0.0,1.0,1.0,-0.0082763685166487,0.0543437567932066,0.0028847456265758,0.92,0.08,0.9917236314833514,1.0,0.7,1.0,1.0,0.25,1.0,0.25
0_base,400,5,3,100,0.0,0.0,0,0.3,0.0,1.0,1.0,-0.0180620633374922,0.068665137324488,0.0043886629517832,0.88,0.12,0.9819379366625076,1.0,0.7,1.0,1.0,0.25,1.0,0.25
0_base,50,3,2,100,0.0,0.0,0,0.3,0.0,1.0,1.0,-0.0428731752351639,0.2025826406979514,0.0392016171574102,0.88,0.12,0.957126824764836,1.0,0.7,1.0,1.0,0.25,1.0,0.25
0_base,50,3,3,100,0.0,0.0,0,0.3,0.0,1.0,1.0,-0.0108021036995529,0.1790447478638535,0.0319403362932949,0.83,0.17,0.9891978963004472,1.0,0.7,1.0,1.0,0.25,1.0,0.25
0_base,50,5,2,100,0.0,0.0,0,0.3,0.0,1.0,1.0,0.010295154746563,0.1726968973757567,0.0297182281519569,0.86,0.14,1.0102951547465628,1.0,0.7,1.0,1.0,0.25,1.0,0.25
0_base,50,5,3,100,0.0,0.0,0,0.3,0.0,1.0,1.0,-0.0305792655236956,0.1897801386875756,0.0350814095603067,0.81,0.19,0.9694207344763044,1.0,0.7,1.0,1.0,0.25,1.0,0.25
0_base,800,3,2,100,0.0,0.0,0,0.3,0.0,1.0,1.0,-0.0239151112258477,0.0457943992310931,0.001525194455992,0.87,0.13,0.9760848887741522,1.0,0.7,1.0,1.0,0.25,1.0,0.25
0_base,800,3,3,100,0.0,0.0,0,0.3,0.0,1.0,1.0,-0.024191154675013,0.049620232425632,0.0018769555014633,0.81,0.19,0.9758088453249868,1.0,0.7,1.0,1.0,0.25,1.0,0.25
0_base,800,5,2,100,0.0,0.0,0,0.3,0.0,1.0,1.0,-0.0181954118690433,0.041606703315134,0.0014000447476694,0.94,0.06,0.9818045881309564,1.0,0.7,1.0,1.0,0.25,1.0,0.25
0_base,800,5,3,100,0.0,0.0,0,0.3,0.0,1.0,1.0,-0.0148765266756774,0.0403083437701786,0.0014034515315627,0.93,0.07,0.9851234733243224,1.0,0.7,1.0,1.0,0.25,1.0,0.25
