config_name,n_samples,d_dim,dgp_num,n_runs,nonlinearity,interaction,sparse_k,skewness,heterogeneous,true_effect,noise_std,bias,rmse,variance,coverage_rate,rejection_rate,mean_estimate,rho,s1,a0,a1,b0,b1
0_基准,100,3,2,100,0.0,0.0,0,0.3,0.0,1.0,1.0,-0.0343794202383733,0.1310613819520158,0.0159951413032455,0.86,1.0,0.9656205797616266,0.7,1.0,1.0,0.25,1.0,0.25
inter_0.25,100,3,2,100,0.0,0.25,0,0.3,0.0,1.0,1.0,-0.0329992011296306,0.1441921763339619,0.0197024364407305,0.86,1.0,0.9670007988703694,0.7,1.0,1.0,0.25,1.0,0.25
inter_0.5,100,3,2,100,0.0,0.5,0,0.3,0.0,1.0,1.0,-0.0316668204594481,0.1754714153441394,0.0297874300848645,0.86,1.0,0.968333179540552,0.7,1.0,1.0,0.25,1.0,0.25
inter_1.0,100,3,2,100,0.0,1.0,0,0.3,0.0,1.0,1.0,-0.0211234075511527,0.2556026104923811,0.0648864961439478,0.86,0.96,0.9788765924488472,0.7,1.0,1.0,0.25,1.0,0.25
hete_0.15,100,3,2,100,0.0,0.0,0,0.3,0.15,1.0,1.0,-0.0297373277824232,0.1301092634438698,0.016044111770267,0.87,1.0,0.9702626722175768,0.7,1.0,1.0,0.25,1.0,0.25
hete_0.3,100,3,2,100,0.0,0.0,0,0.3,0.3,1.0,1.0,-0.0299676864334673,0.1445402622008594,0.0199938251669185,0.87,1.0,0.9700323135665326,0.7,1.0,1.0,0.25,1.0,0.25
hete_0.5,100,3,2,100,0.0,0.0,0,0.3,0.5,1.0,1.0,-0.0271415416519721,0.1704114316911745,0.0283033927677901,0.87,1.0,0.972858458348028,0.7,1.0,1.0,0.25,1.0,0.25
noise_0.5,100,3,2,100,0.0,0.0,0,0.3,0.0,1.0,0.5,-0.010911664980749,0.0665026668480459,0.00430354026525,0.9,1.0,0.989088335019251,0.7,1.0,1.0,0.25,1.0,0.25
noise_1.0,100,3,2,100,0.0,0.0,0,0.3,0.0,1.0,1.0,-0.0323548656537091,0.1267658063022251,0.0150227323159836,0.88,1.0,0.9676451343462908,0.7,1.0,1.0,0.25,1.0,0.25
noise_2.0,100,3,2,100,0.0,0.0,0,0.3,0.0,1.0,2.0,-0.0641983181448434,0.2492719206478212,0.0580150663708271,0.88,0.99,0.9358016818551566,0.7,1.0,1.0,0.25,1.0,0.25
rho_0.3,100,3,2,100,0.0,0.0,0,0.3,0.0,1.0,1.0,-0.0307711915324823,0.1317628073756785,0.0164145711791914,0.83,1.0,0.9692288084675176,0.3,1.0,1.0,0.25,1.0,0.25
rho_0.5,100,3,2,100,0.0,0.0,0,0.3,0.0,1.0,1.0,-0.0318689326449592,0.1244613643729973,0.014475002353659,0.87,1.0,0.9681310673550408,0.5,1.0,1.0,0.25,1.0,0.25
rho_0.7,100,3,2,100,0.0,0.0,0,0.3,0.0,1.0,1.0,-0.0344099763990761,0.1284688046112925,0.0153201872824694,0.87,1.0,0.9655900236009238,0.7,1.0,1.0,0.25,1.0,0.25
s1_0.5,100,3,2,100,0.0,0.0,0,0.3,0.0,1.0,1.0,-0.0543059247898388,0.2463327986748867,0.0577307142357226,0.86,0.99,0.9456940752101612,0.7,0.5,1.0,0.25,1.0,0.25
s1_1.0,100,3,2,100,0.0,0.0,0,0.3,0.0,1.0,1.0,-0.0347002005624426,0.1282785704247745,0.01525128771115,0.87,1.0,0.9652997994375574,0.7,1.0,1.0,0.25,1.0,0.25
s1_2.0,100,3,2,100,0.0,0.0,0,0.3,0.0,1.0,1.0,-0.0159132489948763,0.0663614877943798,0.0041506155687106,0.88,1.0,0.9840867510051236,0.7,2.0,1.0,0.25,1.0,0.25
0_基准,100,3,3,100,0.0,0.0,0,0.3,0.0,1.0,1.0,-0.0256516089911228,0.1280136698063635,0.0157294946134592,0.88,1.0,0.9743483910088772,0.7,1.0,1.0,0.25,1.0,0.25
inter_0.25,100,3,3,100,0.0,0.25,0,0.3,0.0,1.0,1.0,-0.0258811750198197,0.1280995755919323,0.0157396660464266,0.88,1.0,0.9741188249801802,0.7,1.0,1.0,0.25,1.0,0.25
inter_0.5,100,3,3,100,0.0,0.5,0,0.3,0.0,1.0,1.0,-0.0268114263048346,0.1281590466163546,0.0157058886491133,0.88,1.0,0.9731885736951652,0.7,1.0,1.0,0.25,1.0,0.25
inter_1.0,100,3,3,100,0.0,1.0,0,0.3,0.0,1.0,1.0,-0.026097667498516,0.1282662266672188,0.0157711366545832,0.88,1.0,0.973902332501484,0.7,1.0,1.0,0.25,1.0,0.25
hete_0.15,100,3,3,100,0.0,0.0,0,0.3,0.15,1.0,1.0,-0.0287843635280725,0.1281376412873754,0.0155907155309758,0.88,1.0,0.9712156364719274,0.7,1.0,1.0,0.25,1.0,0.25
hete_0.3,100,3,3,100,0.0,0.0,0,0.3,0.3,1.0,1.0,-0.0273344188705421,0.1271411661579912,0.0154177056770236,0.89,1.0,0.972665581129458,0.7,1.0,1.0,0.25,1.0,0.25
hete_0.5,100,3,3,100,0.0,0.0,0,0.3,0.5,1.0,1.0,-0.0256437057233172,0.126788109511017,0.0154176250701535,0.89,1.0,0.9743562942766828,0.7,1.0,1.0,0.25,1.0,0.25
noise_0.5,100,3,3,100,0.0,0.0,0,0.3,0.0,1.0,0.5,-0.0246629002105605,0.1259520129658018,0.0152556509233414,0.89,1.0,0.9753370997894396,0.7,1.0,1.0,0.25,1.0,0.25
noise_1.0,100,3,3,100,0.0,0.0,0,0.3,0.0,1.0,1.0,-0.0223160893884086,0.125991472810198,0.0153758433752914,0.89,1.0,0.9776839106115912,0.7,1.0,1.0,0.25,1.0,0.25
noise_2.0,100,3,3,100,0.0,0.0,0,0.3,0.0,1.0,2.0,-0.0229445311519518,0.1264184372613606,0.0154551697698217,0.89,1.0,0.9770554688480482,0.7,1.0,1.0,0.25,1.0,0.25
rho_0.3,100,3,3,100,0.0,0.0,0,0.3,0.0,1.0,1.0,-0.0264618776655425,0.1282945969556759,0.0157592726384332,0.88,1.0,0.9735381223344576,0.3,1.0,1.0,0.25,1.0,0.25
rho_0.5,100,3,3,100,0.0,0.0,0,0.3,0.0,1.0,1.0,-0.0273630821138539,0.1286822252566062,0.0158103768342224,0.88,1.0,0.972636917886146,0.5,1.0,1.0,0.25,1.0,0.25
